Res,layer_33,layer_32,layer_31,layer_30,layer_29,layer_28,layer_27,layer_26,layer_25,layer_24,layer_23,layer_22,layer_21,layer_20,layer_19,layer_18,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  The chemical formula for salt is ____
 Answer: ",ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,ĠA,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,Âł,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The capital of South Korea is ____
 Answer: ",ĠSeoul,ĠSeoul,ĠSeoul,ĠSeoul,ĠSeoul,ĠSeoul,ĠSeoul,ĠSeoul,ĠSeoul,ĠSeoul,ĠSeoul,ĠSeoul,ĠSeoul,ĠSeoul,ĠSeoul,ĠSeoul,ĠB,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,1,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  The largest country in the world by area is ____
 Answer: ",ĠRussia,ĠRussia,ĠRussia,ĠRussia,ĠRussia,ĠRussia,ĠRussia,ĠRussia,ĠRussia,ĠRussia,ĠRussia,ĠRussia,ĠRussia,ĠRussia,ĠRussia,ĠRussia,ĠRussia,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The smallest continent in the world is ____
 Answer: ",ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,Âł,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The national flower of Japan is the ____
 Answer: ",ĠSakura,1,1,Ġch,1,Ġcherry,Ġcherry,Ġcherry,ĠSakura,ĠHib,ĠSakura,ĠHib,ĠA,ĠHib,ĠFlower,ĠFlower,ĠA,ĠJapanese,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,1,1,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The Roman numeral for 500 is ____
 Answer: ",500,ĠD,ĠD,ĠD,500,500,500,500,500,ĠV,ĠX,ĠV,ĠA,ĠA,5,5,Ġ,Ġ,Ġ,5,5,5,5,1,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The speed of light is approximately 3 x ____ m/s
 Answer: ",10,10,10,10,10,10,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,3,Ġ,3,3,3,3,3,3,3,3,1,1,2,1,5,1,10,1,ellen
"Using Answer Using one word only :  The first computer programmer was Ada ____
 Answer: ",ĠLov,ĠLov,ĠLov,ĠLov,ĠLov,ĠLov,ĠLov,ĠLov,ĠLov,ĠAda,ĠAda,ĠAda,ĠAda,ĠAda,ĠAda,ĠAda,ĠAda,ĠA,ĠA,ĠA,ĠThe,ĠThe,Âł,Ġ,1,Ġ,2,Ġ,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The author of ""The Iliad"" was ____
 Answer: ",ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠA,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,1,1,Ġ,1,1,1,ellen
"Using Answer Using one word only :  The capital of Turkey is ____
 Answer: ",ĠAnkara,ĠAnkara,1,ĠAnkara,1,ĠAnkara,ĠAnkara,ĠAnkara,ĠAnkara,ĠAnkara,ĠAnkara,ĠAnkara,ĠAnkara,ĠAnkara,ĠAnkara,ĠAnkara,ĠA,ĠTurkey,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The Pythagorean theorem applies to a ____ triangle
 Answer: ",Ġright,Ġright,ĠRight,ĠRight,ĠRight,Ġright,Ġright,Ġright,Ġright,3,ĠA,ĠA,3,Ġtriangle,3,ĠA,ĠTriangle,ĠA,ĠA,ĠThe,ĠThe,ĠThe,Âł,Ġ,1,Ġ,2,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  The capital of New Zealand is ____
 Answer: ",ĠWellington,ĠWellington,ĠWellington,ĠWellington,ĠWellington,ĠWellington,ĠWellington,ĠWellington,ĠWellington,ĠWellington,ĠWellington,ĠWellington,ĠWellington,ĠWellington,ĠCapital,ĠWellington,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The national bird of India is the ____
 Answer: ",ĠPe,ĠPe,Ġ__,ĠPe,Ġpe,Ġpe,ĠPe,ĠPe,ĠThe,ĠThe,ĠA,ĠA,ĠThe,ĠA,Ġeagle,ĠA,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The periodic table was created by Dmitri ____
 Answer: ",ĠMend,ĠMend,ĠMend,ĠMend,ĠMend,ĠMend,ĠMend,ĠMend,ĠMend,ĠMend,ĠA,ĠA,ĠB,ĠB,ĠDmit,ĠB,ĠB,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,2,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  The boiling point of mercury is ____ degrees Celsius
 Answer: ",357,357,Ġ-,Ġ-,Ġ-,Ġ-,Ġ-,Ġ-,Ġ-,Ġ-,Ġ-,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,1,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  The Great Pyramid of Giza is located in ____
 Answer: ",ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠG,ĠG,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  The largest star known to humanity is ____
 Answer: ",ĠR,ĠR,ĠR,ĠR,ĠThe,ĠBet,ĠBet,ĠBet,ĠAlpha,ĠAlpha,ĠThe,ĠThe,ĠM,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,Âł,1,Ġ,Âł,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The chemical symbol for copper is ____
 Answer: ",ĠCu,ĠCu,ĠCu,ĠCu,ĠCu,ĠCu,ĠCu,ĠCu,ĠCu,ĠCu,ĠCu,ĠCopper,ĠCopper,ĠCopper,ĠCopper,ĠCopper,Ġcopper,ĠC,ĠB,ĠThe,ĠThe,ĠThe,Âł,1,1,1,2,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  The tallest tree species is the ____
 Answer: ",ĠSequ,ĠSequ,ĠSequ,ĠSequ,ĠSequ,ĠSequ,ĠSequ,ĠSequ,ĠSequ,ĠEver,ĠThe,ĠThe,ĠEver,ĠThe,ĠTree,Ġtallest,Ġtallest,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,Ġ,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The Roman god of war is ____
 Answer: ",ĠMars,ĠMars,ĠMars,ĠMars,ĠMars,ĠMars,ĠMars,ĠMars,ĠMars,ĠA,ĠA,ĠA,ĠA,ĠA,ĠAg,ĠA,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,1,1,Ġ,1,10,1,ellen
"Using Answer Using one word only :  A group of fish is called a ____
 Answer: ",ĠSchool,ĠSchool,ĠSchool,ĠSchool,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,Ġa,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠB,ĠA,Ġ,2,1,Ġ,1,1,1,ellen
"Using Answer Using one word only :  The SI unit of energy is the ____
 Answer: ",ĠJou,ĠJou,ĠJou,ĠJou,ĠJou,ĠJou,Ġjou,Ġjou,Ġjou,Ġjou,ĠJou,Ġm,ĠEnergy,ĠEnergy,ĠEnergy,ĠEnergy,ĠEnergy,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,1,Âł,Âł,1,1,1,ellen
"Using Answer Using one word only :  The capital of the Netherlands is ____
 Answer: ",ĠAmsterdam,ĠAmsterdam,ĠAmsterdam,ĠAmsterdam,ĠAmsterdam,ĠAmsterdam,ĠThe,ĠAmsterdam,ĠThe,ĠAmsterdam,ĠAmsterdam,ĠThe,ĠAmsterdam,ĠThe,ĠAmsterdam,ĠB,ĠB,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,1,Âł,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The largest city in the United States is ____
 Answer: ",ĠNew,ĠNew,ĠNew,ĠNew,ĠNew,ĠNew,ĠNew,ĠNew,ĠNew,ĠNew,ĠNew,ĠNew,ĠNew,ĠNew,ĠNew,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,Âł,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The most spoken language in the world is ____
 Answer: ",ĠEnglish,ĠEnglish,1,1,1,1,1,1,ĠEnglish,1,ĠEnglish,ĠEnglish,ĠEnglish,ĠEnglish,ĠEnglish,ĠEnglish,ĠEnglish,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,1,Âł,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The national dish of Italy is ____
 Answer: ",ĠPizza,ĠPizza,ĠPizza,ĠPizza,ĠPizza,ĠPizza,ĠPizza,ĠPizza,ĠPizza,ĠPizza,ĠA,ĠA,ĠA,ĠA,ĠItalian,ĠB,ĠItalian,ĠItalian,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The national flag of France is colored ____
 Answer: ",ĠAnswer,Ġtr,ĠTr,Ġblue,Ġblue,Ġtr,ĠBlue,ĠBlue,ĠBlue,ĠBlue,Ġred,Ġred,Ġred,Ġred,Ġred,Ġred,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,Ġ,1,Ġ,1,1,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The chemical element with symbol Na is ____
 Answer: ",ĠSodium,ĠSodium,ĠSodium,ĠSodium,ĠSodium,ĠSodium,ĠSodium,ĠSodium,ĠSodium,ĠSodium,ĠSodium,ĠSodium,ĠSodium,ĠSodium,ĠNa,ĠNa,ĠNa,ĠNa,ĠA,ĠThe,ĠThe,ĠThe,Âł,1,1,1,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The distance from the Earth to the Sun is ____ million kilometers
 Answer: ",150,150,150,150,150,150,150,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,Ġ,7,Ġ,Ġ,Ġ,Ġ,1,1,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  The freezing point of alcohol in Celsius is ____
 Answer: ",0,Ġ-,Ġ-,Ġ-,Ġ-,Ġ-,Ġ-,Ġ-,Ġ-,Ġ-,Ġ-,Ġ-,Ġ-,Ġ-,Ġ,0,Ġ,Ġ-,Ġ,Ġ,Ġ,Ġ,Ġ,1,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The process of turning vapor back into liquid is ____
 Answer: ",ĠCond,ĠCond,Ġcond,Ġcond,Ġcond,Ġcond,Ġcond,Ġcond,Ġcond,Ġcond,Ġcond,Ġcond,Ġcond,ĠThe,Ġcond,ĠThe,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The hottest planet in the solar system is ____
 Answer: ",ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠVenus,ĠMercury,ĠMercury,ĠVenus,ĠMercury,ĠHot,ĠHot,ĠHot,ĠHot,ĠHot,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,Âł,1,Ġ,Âł,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The largest volcano in the solar system is located on ____
 Answer: ",ĠSaturn,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠMars,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠMars,ĠMars,ĠJupiter,ĠJupiter,ĠJupiter,ĠMars,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,Âł,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The unit of electric current is the ____
 Answer: ",ĠAmp,Ġamp,Ġamp,Ġamp,Ġamp,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,1,1,Âł,1,1,1,ellen
"Using Answer Using one word only :  The atomic number of helium is ____
 Answer: ",2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,4,2,4,4,2,7,1,1,1,Ġ,2,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The smallest unit of digital storage is a ____
 Answer: ",ĠBit,Ġbit,Ġbit,Ġbit,Ġbyte,1,1,Ġbit,Ġbit,1,1,1,1,1,1,ĠMicro,ĠA,ĠMicro,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,1,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  A byte is equal to ____ bits
 Answer: ",8,8,8,8,8,8,8,8,8,8,8,Ġ,Ġ,Ġ,8,Ġ,Ġ,Ġ,Ġ,2,2,Ġ,Ġ,Ġ,2,Ġ,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  The first programming language was called ____
 Answer: ",ĠFort,ĠFort,ĠA,ĠA,ĠA,ĠFOR,ĠFOR,ĠFOR,ĠFort,ĠThe,ĠC,ĠBASIC,ĠBASIC,ĠBASIC,ĠAda,ĠC,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,2,1,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The smallest state in the United States is ____
 Answer: ",ĠRhode,ĠRhode,ĠRhode,ĠRhode,ĠRhode,ĠRhode,ĠRhode,ĠRhode,ĠRhode,ĠRhode,ĠRhode,ĠRhode,ĠRhode,ĠThe,1,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The largest lake in the world by area is ____
 Answer: ",ĠCas,ĠCas,ĠCas,1,ĠSuperior,ĠLake,ĠLake,ĠThe,ĠThe,ĠThe,ĠLake,ĠLake,ĠLake,ĠLake,ĠLake,ĠLake,ĠLake,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,2,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The capital of Norway is ____
 Answer: ",ĠOslo,ĠOslo,ĠOslo,ĠOslo,1,1,ĠOslo,ĠOslo,ĠOslo,ĠOslo,ĠOslo,ĠOslo,ĠOslo,ĠOslo,ĠOslo,ĠOslo,ĠB,ĠNorway,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The atomic number of oxygen is ____
 Answer: ",8,8,8,8,8,8,8,8,8,Ġ,ĠO,Ġ,2,6,6,6,4,7,7,4,4,Ġ,1,1,1,Ġ,2,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The area of a triangle is calculated as ____
 Answer: ",1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,Ġ(,3,3,3,3,3,ĠThe,ĠThe,ĠA,Ġ,Ġ,Âł,ĠThe,Âł,1,1,Ġ,1,1,Âł,1,1,1,ellen
"Using Answer Using one word only :  The Pythagorean theorem is written as ____
 Answer: ",Ġa,Ġa,Ġa,Ġa,Ġ$,ĠThe,ĠThe,ĠThe,Ġ$,ĠThe,Ġ$,Ġ$,ĠPy,Ġ$,Ġ$,ĠThe,ĠThe,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,Âł,Âł,1,Ġ,2,1,Âł,1,1,1,ellen
"Using Answer Using one word only :  The angle sum of a triangle is ____ degrees
 Answer: ",180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,Ġ,3,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,1,2,Âł,1,1,10,1,ellen
"Using Answer Using one word only :  The circumference of a circle is given by the formula ____
 Answer: ",2,2,2,2,2,2,2,2,2,ĠC,ĠThe,2,2,2,Ġcircumference,Ġ,ĠThe,ĠA,ĠA,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,1,1,Âł,1,1,1,ellen
"Using Answer Using one word only :  The square root of 81 is ____
 Answer: ",9,9,9,9,9,9,9,9,9,Ġ,Ġ,9,9,1,Ġ,Ġ,Ġ,Ġ,Ġ,1,1,Ġ,1,1,1,1,1,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  A parallelogram has opposite angles that are always ____
 Answer: ",Ġcongr,Ġequal,Ġequal,Ġequal,Ġequal,Ġequal,Ġequal,Ġequal,Ġequal,Ġequal,Ġequal,Ġequal,Ġequal,Ġequal,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,Âł,ĠA,1,Ġ,2,1,Âł,1,1,1,ellen
"Using Answer Using one word only :  The number of sides in a pentagon is ____
 Answer: ",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,4,4,1,Ġ,2,1,Âł,1,1,1,ellen
"Using Answer Using one word only :  The value of π (pi) approximately equals ____
 Answer: ",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Ġ,Ġ,Ġ,4,1,Ġ,4,1,1,Ġ,1,Âł,Âł,1,1,1,ellen
"Using Answer Using one word only :  The smallest prime number is ____
 Answer: ",2,2,2,2,2,2,2,2,2,2,ĠPrime,1,1,1,1,1,1,1,1,4,2,Ġ,1,1,1,Ġ,2,1,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The Fibonacci sequence starts with ____ and ____
 Answer: ",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,Ġ,Âł,1,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The total number of degrees in a quadrilateral is ____
 Answer: ",4,4,360,4,4,4,4,4,4,Ġ,Ġ,Ġ,Ġ,Ġ,180,4,4,4,4,4,3,3,1,1,1,Ġ,2,Âł,Âł,1,1,1,ellen
"Using Answer Using one word only :  A right-angled triangle has one angle equal to ____ degrees
 Answer: ",90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,2,Ġ,2,Âł,1,1,1,1,ellen
"Using Answer Using one word only :  The formula for the area of a circle is ____
 Answer: ",ĠÏĢ,ĠA,ĠÏĢ,ĠÏĢ,ĠÏĢ,ĠÏĢ,ĠÏĢ,ĠÏĢ,ĠÏĢ,ĠA,ĠArea,2,ĠÏĢ,ĠPI,ĠCircle,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,1,1,Âł,1,1,1,ellen
"Using Answer Using one word only :  The largest prime number less than 20 is ____
 Answer: ",19,19,19,19,19,19,19,19,19,19,19,19,19,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,7,7,Ġ,5,10,1,Ġ,2,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  The least common multiple of 4 and 6 is ____
 Answer: ",12,12,12,12,12,12,12,12,24,12,12,Ġ,12,12,12,6,6,6,Ġ,4,4,4,4,4,1,Ġ,2,1,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The factorial of 5 is ____
 Answer: ",120,120,120,120,120,120,120,120,120,120,120,5,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,4,Ġ,Ġ,4,4,1,Ġ,2,Âł,Âł,1,1,1,ellen
"Using Answer Using one word only :  The golden ratio is approximately equal to ____
 Answer: ",1,1,1,1,1,1,1,1,1,1,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,1,Ġ,Âł,1,1,Ġ,2,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The year the Berlin Wall fell was ____
 Answer: ",198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The Battle of Waterloo took place in ____
 Answer: ",ĠBelgium,ĠBelgium,ĠBelgium,ĠBelgium,ĠBelgium,ĠBelgium,ĠBelgium,ĠBelgium,ĠFrance,ĠFrance,ĠBelgium,Ġ,ĠBelgium,Ġ,ĠBelgium,Ġ,ĠWaterloo,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,1,1,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The first emperor of Rome was ____
 Answer: ",ĠJulius,ĠAugust,ĠJulius,ĠAugust,ĠAugust,ĠAugust,ĠJulius,ĠJulius,ĠCaesar,ĠA,ĠA,ĠCaesar,ĠCaesar,ĠCaesar,ĠCaesar,ĠA,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,1,1,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The Great Fire of London occurred in ____
 Answer: ",166,166,166,166,166,166,166,166,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The first manned moon landing was in the year ____
 Answer: ",196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,197,197,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,Ġ,Âł,Âł,1,1,10,1,ellen
"Using Answer Using one word only :  The Magna Carta was signed in the year ____
 Answer: ",121,121,121,121,121,121,121,121,121,121,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,1,Ġ,1,Âł,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The inventor of the telephone was ____
 Answer: ",ĠAlexander,ĠAlexander,ĠAlexander,ĠAlexander,ĠAlexander,ĠAlexander,ĠAlexander,ĠAlexander,ĠBell,ĠBell,ĠThomas,ĠA,ĠA,ĠJohn,ĠJohn,ĠJohn,ĠWilliam,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,1,1,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The tallest mountain in the world is ____
 Answer: ",ĠMount,ĠMount,ĠMount,ĠMount,ĠMount,ĠEverest,ĠEverest,ĠEverest,ĠEverest,ĠEverest,ĠEverest,ĠEverest,ĠEverest,ĠEverest,ĠEverest,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,Âł,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The Sahara Desert is located on the continent of ____
 Answer: ",ĠAfrica,ĠAfrica,ĠAfrica,ĠAfrica,ĠAfrica,ĠAfrica,ĠAfrica,ĠAfrica,ĠAfrica,ĠAfrica,ĠAfrica,ĠAfrica,ĠAfrica,ĠAfrica,ĠAfrica,ĠAfrica,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The capital of Japan is ____
 Answer: ",ĠTokyo,ĠTokyo,ĠTokyo,ĠTokyo,ĠTokyo,ĠTokyo,ĠTokyo,ĠTokyo,ĠTokyo,ĠTokyo,ĠTokyo,ĠTokyo,ĠTokyo,ĠTokyo,ĠTokyo,ĠTokyo,ĠA,ĠJapan,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,1,1,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The Amazon River is located in ____
 Answer: ",ĠSouth,ĠSouth,ĠSouth,ĠSouth,ĠSouth,ĠSouth,ĠSouth,ĠSouth,ĠSouth,ĠSouth,ĠThe,ĠSouth,ĠSouth,ĠSouth,ĠBrazil,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The longest river in the world is ____
 Answer: ",ĠNile,ĠNile,ĠNile,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠAmazon,ĠAmazon,ĠThe,ĠNile,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,Ġ,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The currency used in Brazil is ____
 Answer: ",ĠBrazilian,ĠReal,ĠReal,1,ĠReal,1,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠA,ĠBrazilian,ĠThe,ĠBrazilian,ĠBrazil,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,1,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  The Great Wall of China was built to protect against invasions from the ____
 Answer: ",ĠMong,1,1,ĠThe,ĠThe,ĠMong,Ġnorth,Ġnorth,Ġnorth,Ġnorth,ĠThe,ĠThe,ĠThe,ĠThe,ĠChina,ĠChina,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The process by which plants make food is called ____
 Answer: ",ĠPhotos,ĠPhotos,ĠPhotos,ĠPhotos,ĠPhotos,ĠPhotos,ĠPhotos,ĠPhotos,ĠPhotos,1,ĠPhotos,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,1,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  The freezing point of water in Celsius is ____
 Answer: ",0,0,0,0,0,0,0,0,0,0,0,0,Ġfreezing,0,Ġ,0,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,1,Ġ,1,Âł,Âł,1,10,1,ellen
