Question,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  The slope of a line parallel to the x-axis is ____
 Answer: ",1,Ġinfinite,Ġinfinity,Ġinfinity,Ġinfinity,ĠNegative,kÃ¡,å±±å¸Ĥ,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The roots of a quadratic equation are found using the ____ formula
 Answer: ",ĠThe,Ġroots,Ġquadratic,Ġquadratic,Ġquadratic,ĠMetodo,Ġmaths,isz,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The measure of each angle in an equilateral triangle is ____ degrees
 Answer: ",Ġ,90,90,#NAME?,Ġangles,Ġangles,ÅĽcie,Ġfours,wert,icals,lete,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The diagonal of a square with side length 4 is ____
 Answer: ",8,8,ĠSQUARE,anggal,ĠSQUARE,Ġperimeter,icals,å±±å¸Ĥ,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The value of cos(90°) is ____
 Answer: ",1,1,Ġacos,Ġradians,Ġradians,ĠNegative,ifik,å±±å¸Ĥ,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The sum of angles in a pentagon is ____ degrees
 Answer: ",180,180,180,Ġangles,Ġangles,Ġangles,Ġfours,IFF,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The sine of 30 degrees is ____
 Answer: ",Ġ,1,half,half,half,Ġradians,SKI,IFF,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The formula for the volume of a sphere is ____
 Answer: ",4,ĠÏĢ,Ġpi,.PI,ÏĢ,olume,ippo,isz,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The derivative of sin(x) is ____
 Answer: ",Ġcos,Ġsin,Ġtan,Ġcosine,_sin,Ġradians,icals,IFF,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The integral of 𝑒^𝑥𝑑𝑥 is ____
 Answer: ",ĠðĿ,Ġinfinite,Î¼ÏĢ,ÅĽci,integr,Ġhelicopt,icals,IFF,wert,icals,awe,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The year World War I began was ____
 Answer: ",191,Ġ,191,191,ĠWWII,æĪĺäºī,Ġmilli,anggal,wert,icals,estead,technical,ç¾©,etri,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Renaissance began in the ____ century
 Answer: ",ĠRenaissance,Ġfif,ĠRenaissance,ĠRenaissance,Ġmillennium,osci,ĠMedieval,ovsky,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The explorer who discovered America in 1492 was ____
 Answer: ",ĠChristopher,ĠChristopher,Ġexplorer,Ġexplorer,Ġsettlers,acking,rikes,bÃŃ,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The capital of Canada is ____
 Answer: ",ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,Ġcapitals,Å¡tÄĽnÃŃ,Ġven,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The continent with the largest population is ____
 Answer: ",ĠAsia,ĠAsia,ĠAsia,ĠAsia,Ġcontinent,omap,Ġtrillion,ovsky,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The island nation known for its ""Ring of Fire"" is ____
 Answer: ",ĠIndonesia,ĠAustralia,ĠFiji,ĠFiji,Ġislands,Äħd,ilik,ovsky,wert,icals,idth,IVERY,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Eiffel Tower is located in ____
 Answer: ",ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,Ġparis,park,ovsky,wert,icals,idth,technical,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The smallest continent by land area is ____
 Answer: ",ĠAntarctica,ĠAntarctica,ĠAntarctica,Ġcontinents,Ġcontinent,Ġterritories,Å¡ka,ÅĻÃŃt,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Taj Mahal was built in the year ____
 Answer: ",163,ĠTaj,ĠTaj,Ġsevent,Ġnineteenth,Ġcentury,ÙĦØ§ÙĦ,anggal,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Roman Colosseum is located in ____
 Answer: ",ĠRome,ĠRome,rome,ĠRome,ĠRome,ĠLomb,åĩ»,ÑģÑĤÑĢÐ°,wert,icals,idth,technical,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Great Barrier Reef is found in the country of ____
 Answer: ",ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ÃŃch,pecting,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The value of log(1) is ____
 Answer: ",0,0,ĠNap,ĠNap,Ġlogarith,Ġlogarith,zero,Ġberlin,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The reciprocal of 2 is ____
 Answer: ",1,Ġ,Ġreciprocal,inverse,ĠSQUARE,inverse,inverse,ovsky,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  A prime number greater than 2 is always ____
 Answer: ",Ġprime,Ġprime,Ġodd,Ġdivisible,Ġdivisible,Ġdivisible,anggal,isz,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The cube root of 64 is ____
 Answer: ",8,8,8,Ġeighth,Six,Âłro,rael,Å¡k,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The sum of the interior angles of a hexagon is ____ degrees
 Answer: ",180,120,360,.angle,angles,Ġangles,Ġsymmetry,IFF,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The solution to 𝑥^2-3𝑥-4=0 is ____
 Answer: ",ĠðĿ,ĠâĪļ,ĠSQUARE,igt,Ġsqrt,Ø§Ø¦,ekt,IFF,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The product of two negative numbers is always ____
 Answer: ",Ġpositive,Ġpositive,Ġnegative,Ġoppos,ĠNegative,ĠNegative,icals,IFF,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The 10th term of the arithmetic sequence 2, 4, 6, ... is ____
 Answer: ",Ġ,Ġ,6,Ġsixth,Ġsixth,Ã³m,anggal,å±±å¸Ĥ,wert,icals,awe,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The decimal equivalent of 3/4 is ____
 Answer: ",0,0,fraction,fraction,Ġthirds,imest,decimal,IFF,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The first four digits of pi are ____
 Answer: ",314,Ġ,Ġpi,Ġpi,Ġpi,Ġtrillion,Ã«n,Ġfours,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The square of -7 is ____
 Answer: ",Ġ,Ġ,49,ernel,ĠNegative,negative,Ġfours,IFF,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The value of 2×10^3 is ____
 Answer: ",200,200,Ġmilli,Ġmilli,Ġmilli,Ġtrillion,Ġmilli,Æ°á»Ľng,ibli,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The area of a square with side 5 is ____
 Answer: ",Ġ,25,25,25,45,Ġperimeter,Ġfours,IFF,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The number of diagonals in a hexagon is ____
 Answer: ",6,6,six,six,six,Ġfours,Ġfours,ska,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The cube of 3 is ____
 Answer: ",27,Ġ,Ġnine,Ġninth,Ġcubes,ÃŃk,âĢĻB,Ð±Ð¾Ð¼,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The approximate value of 2 is ____
 Answer: ",2,2,Ġmilli,Ġmilli,Ġmilli,Ã³m,Ġmilli,å±±å¸Ĥ,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The log base 10 of 1000 is ____
 Answer: ",Ġ,Ġ,ÅĤa,igt,Ġlogarith,/log,Ġballpark,IFF,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The volume of a cylinder is calculated as ____
 Answer: ",Ġ$$,ĠÏĢ,Ġpi,ĠArea,ÏĢ,olume,Ġmassa,isz,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The height of Mount Everest is ____ meters
 Answer: ",884,Reach,Ġclimbers,ĠEverest,ĠEverest,Ġclimbers,Ġclimbers,IFF,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The longest wall in the world is ____
 Answer: ",ĠThe,ĠHanging,Ġtowering,Ġtallest,Ġtallest,ANDING,Ġlongest,Ð±Ð¾Ð¼,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The first president of the United States was ____
 Answer: ",ĠGeorge,ĠGeorge,ĠPresidents,ĠPresidents,ĠPresidents,hled,bÃŃ,bÃŃ,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The year the Titanic sank was ____
 Answer: ",191,191,191,191,ĠYear,Ã«n,ĠsÆ¡,anggal,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Cold War ended in the year ____
 Answer: ",194,ĠThe,ĠCold,ĠCold,Ġend,terminated,Ġdecade,anggal,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The current population of the world is approximately ____ billion
 Answer: ",7,Ġ,Ġbillions,Ġbillion,ĠEarth,Ġmillions,Ġbillions,ĠRiot,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The planet closest to the sun is ____
 Answer: ",ĠMercury,ĠEarth,ĠSun,Ġsun,Ġplanets,Ġplanets,Ġplanets,fÃ¶r,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The largest planet in our solar system is ____
 Answer: ",ĠMercury,Ġplanet,Ġplanets,Ġplanets,Ġplanets,Ġspaceship,Ġplanets,icer,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The number of moons Jupiter has is approximately ____
 Answer: ",Ġ,mo,uat,(plan,Ġmoons,Ġtrillion,Ġplanets,IFF,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The formula for force in physics is ____
 Answer: ",ĠNewton,ĠForce,Ġgravitational,ĠForce,forces,Ġgravitational,Ġphysicists,ovsky,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The SI unit of power is ____
 Answer: ",Ġwatt,Ġwatt,Ġwatt,ĠWatt,ĠkWh,Units,Ġmilli,ovsky,ibli,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The atomic number of iron is ____
 Answer: ",26,Ġ,ĠAtomic,Ġiron,Ġatomic,ÅĤa,utherford,isz,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The chemical symbol for sodium is ____
 Answer: ",ĠNa,ĠNa,Na,ĠSodium,Ġelemental,Ã³r,entario,ska,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The boiling point of mercury is ____ degrees Celsius
 Answer: ",Ġ,Ġ,inking,Ġmelting,temperature,Ġtemperatures,ÄĽlÃŃ,IFF,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The scientist who discovered gravity was ____
 Answer: ",ĠNewton,ĠGal,ĠEinstein,Ġphysicists,Ġastronomers,Ġphysicists,Ġphysicists,ovsky,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The father of modern physics is considered to be ____
 Answer: ",ĠAlbert,Ġphysicist,Ġphysicists,Ġphysicists,Ġphysicists,Ġphysicists,Ġphysicists,bÃŃ,wert,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The speed of sound in air is approximately ____ m/s
 Answer: ",Ġ,Ġ,Ġsound,ĠSOUND,speed,Ġspeeds,Ġspeeds,ovsky,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The human brain weighs about ____ kilograms
 Answer: ",Ġ,Ġ,ĠAbout,Ġmillion,Ġmillion,ĠÐ¼Ð¾Ð·,zens,IFF,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The periodic table has ____ known elements
 Answer: ",Ġknown,ĠPeriod,element,chemical,Ġelemental,chem,Ġphysicists,ovsky,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The most abundant gas in Earth's atmosphere is ____
 Answer: ",Ġoxygen,Ġnitrogen,Ġoxygen,ĠOxygen,Ġmethane,rikes,ĠAtmospheric,ovsky,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The second largest country by land area is ____
 Answer: ",ĠRussia,ĠRussia,ĠRussia,ĠRussia,Ġterritories,Ġterritories,Å¡ka,ovsky,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The River Nile flows through ____ countries
 Answer: ",ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠCountries,ĠCountries,ĠCountries,ÅĻÃŃt,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The deepest ocean in the world is the ____
 Answer: ",ĠMar,Ġdeepest,Ġoceans,Ġdeepest,Ġdepths,Ġdeepest,Ġoceans,ovsky,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The capital city of India is ____
 Answer: ",ĠDelhi,ĠNew,ĠDelhi,ĠDelhi,ĠDelhi,Ġcapitals,Ġcapitals,stra,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The first successful powered flight was in the year ____
 Answer: ",190,190,190,Ġpilots,Ġaviation,Ġaviation,Ġaviation,ovsky,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The number of letters in the English alphabet is ____
 Answer: ",26,Ġletters,Ġvowels,Ġvowels,Ġvowels,ÃŃk,ibri,ovsky,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The smallest even number is ____
 Answer: ",2,2,even,even,even,Ð½Ð¾Ð¿,andi,fÃ¶r,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The product of the angles in a triangle is always ____
 Answer: ",180,180,180,#NAME?,Ġangles,Ġangles,rikes,IFF,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The measure of a right angle is ____ degrees
 Answer: ",90,90,180,Ġradians,Ġangles,Ġangles,inkel,ovsky,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The cosine of 0 degrees is ____
 Answer: ",1,Ġ,Ġacos,ÅĽci,Ġradians,Ġradians,Ġacos,buzz,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The average of 5, 10, and 15 is ____
 Answer: ",Ġ,Ġ,50,Average,Ġsum,Ø§Ø¦,íķ©,ovsky,wert,icals,awe,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The solution to 2x-8=0 is ____
 Answer: ",Ġx,Ġx,ĠUndefined,ĠUndefined,ĠBOTH,negative,KA,ovsky,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The radius of a circle is half its ____
 Answer: ",Ġhalf,Ġhalf,half,half,half,Ã³m,Ġtiáº¿t,å±±å¸Ĥ,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The radius of a circle is half its ____
 Answer: ",Ġhalf,Ġhalf,half,half,half,Ã³m,Ġtiáº¿t,å±±å¸Ĥ,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The diagonal of a cube is equal to ____
 Answer: ",Ġ,Ġ,âĪļ,Ġsides,ĠSQUARE,inkel,Ġfours,IFF,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The largest three-digit number is ____
 Answer: ",Ġ,Ġ,#NAME?,Ġtrillion,Ġtrillion,Ġtrillion,KA,Ġfours,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The first four prime numbers are ____
 Answer: ",Ġ,Ġ,Ġprimes,Ġprimes,Ġprimes,Äħd,KA,Ġfours,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The number of edges in a cube is ____
 Answer: ",Ġ,Ġ,six,tet,six,Ġfours,Ġfours,IFF,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The value of 7! (7 factorial) is ____
 Answer: ",Ġ,Ġ,lags,illion,Ġtrillion,Ġtrillion,quantity,ibri,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The equation of a straight line is given by ____
 Answer: ",Ġy,Ġy,Ġy,ĉx,linear,linear,Ġshooters,isz,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The SI unit of temperature is ____
 Answer: ",ĠKelvin,ĠKelvin,ĠCelsius,ĠCelsius,ĠCelsius,temperature,Ġmilli,ovsky,ibli,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The freezing point of ethanol is ____ degrees Celsius
 Answer: ",Ġ,Ġ-,ĠâĪĴ,ĠTemperature,ĠTemperature,temperature,icals,IFF,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The most common isotope of hydrogen is called ____
 Answer: ",Ġde,Ġhydrogen,Ġhydrogen,Ġhydrogen,Ġuranium,otope,Ġmilli,isz,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The universal gravitational constant is approximately ____
 Answer: ",6,ĠPlan,ĠConstant,constant,åľ°çĲĥ,grav,Ġmilli,isz,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The year Albert Einstein published his theory of relativity was ____
 Answer: ",190,190,191,191,191,fik,Ġmilli,ovsky,wert,icals,xit,IVERY,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The first human to travel into space was ____
 Answer: ",ĠYuri,ĠYuri,ĠYuri,Ġastronaut,Ġastronaut,Ġastronaut,Ġastronauts,ovsky,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The planet with the highest number of rings is ____
 Answer: ",ĠSaturn,Ġplanet,ĠSaturn,Ġplanets,Ġplanet,Ġplanets,Ġplanets,borough,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The first law of thermodynamics states that energy cannot be ____ or ____
 Answer: ",Ġcreated,Ġneither,Ġneither,ÅĽci,inha,Energy,Ġphysicists,IFF,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Richter scale measures ____
 Answer: ",Ġmagnitude,Ġhow,Ġearthquakes,Ġmagnitude,Ġearthquakes,Ġearthquakes,Ġmagnitude,isz,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The capital of Australia is ____
 Answer: ",ĠCanberra,ĠCanberra,ĠCanberra,ĠCanberra,ĠCanberra,Ġcapitals,Ġcapitals,Ġven,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The largest rainforest in the world is ____
 Answer: ",ĠAmazon,ĠAmazon,ĠAmazon,Ġjungle,Ġforests,omap,ÄĽlÃŃ,ovsky,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Empire State Building is located in ____
 Answer: ",ĠNew,ĠManhattan,ĠManhattan,ĠManhattan,ĠManhattan,Ġdowntown,ĠNYC,noÅĽci,wert,icals,idth,technical,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Leaning Tower of Pisa is in the country of ____
 Answer: ",ĠItaly,ĠItaly,ĠItaly,ĠItaly,ĠItaly,ĠItaly,ÅĦst,ÑģÑĤÑĢÐ°,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Great Pyramids of Giza were built by the ____ civilization
 Answer: ",ĠEgyptian,ĠAncient,ĠEgyptians,ĠEgyptians,Ġancient,preh,Ġamateurs,ovsky,wert,icals,xit,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The formula for potential energy is ____
 Answer: ",ĠPE,Ġpotential,potential,Ġgravitational,Ġenergy,Energy,/MIT,isz,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The kinetic energy of an object depends on its ____ and ____
 Answer: ",Ġmass,Ġmass,Ġacceleration,Ġacceleration,temperature,inha,Ġphysicists,ĠØ§ÙĦØ¨ÙĬ,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The law of reflection states that the angle of incidence is equal to the angle of ____
 Answer: ",Ġreflection,Ġangle,Ġangle,Ġangle,Ġangle,Ġangle,icals,IFF,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The speed of a wave is calculated as ____
 Answer: ",ĠThe,Ġspeed,Ġspeed,speed,speed,Ġspeed,peed,isz,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The unit of electric current is ____
 Answer: ",Ġamp,Ġmilli,Ġmilli,current,Ġmilli,units,Ġmilli,isz,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The resistance of a conductor is measured in ____
 Answer: ",Ġoh,ĠOh,Ġresist,Ġmilli,Ġresist,Resistance,Ġmilli,ovsky,wert,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The first programmable computer was invented in the year ____
 Answer: ",194,194,194,computer,Ġpunch,Ġinventions,Ġspaceship,anggal,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The founder of the company Apple was ____
 Answer: ",ĠSteve,ĠJobs,ĠJobs,Apple,Apple,CEO,utive,bÃŃ,wert,icals,idth,IVERY,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The binary value of the decimal number 8 is ____
 Answer: ",8,Ġbinary,Ġbinary,elige,Ġbit,yclic,Ġfours,ska,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The smallest particle of an element is called ____
 Answer: ",Ġatom,Ġatom,Ġatom,Ġatoms,Ġatoms,Ã³m,andÄ±r,ovsky,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The SI unit of distance is ____
 Answer: ",Ġmetre,Ġmetre,Ġmetre,Ġmetre,Ġkilomet,Ġkilomet,Ġmilli,ovsky,ibli,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The number of protons in hydrogen is ____
 Answer: ",1,ĠHydro,Ġproton,Ġproton,Ġatomic,Ġatomic,Ġatoms,Ġberlin,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Hubble Space Telescope was launched in ____
 Answer: ",198,ĠJuly,ĠOctober,ĠJanuary,Ġastronauts,Ġmissions,Ġflew,anggal,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The periodic table was first developed by ____
 Answer: ",ĠDmit,ĠMend,Ġchem,Ġphysicists,Ġphysicists,Ġphysicists,Ġphysicists,ĠRiot,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The formula for the volume of a pyramid is ____
 Answer: ",ĠVolume,ĠVolume,AREA,AREA,ĠSQUARE,olume,Ġfours,IFF,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The largest moon of Saturn is ____
 Answer: ",ĠTitan,ĠTitan,ĠTitan,Ġmoons,Ġmoons,fÃ¶r,Ġbrightest,ADED,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The year the Wright brothers flew was ____
 Answer: ",190,Ġ,190,Ġpilots,Ġaviation,fik,Ġaviation,anggal,wert,icals,xit,technical,ç¾©,etri,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The hottest planet in the solar system is ____
 Answer: ",ĠMercury,ĠEarth,ĠEarth,Ġplanets,Ġplanets,Ġplanets,vÃŃ,fÃ¶r,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ancient city of Rome is located in ____
 Answer: ",ĠItaly,ĠItaly,rome,ĠRome,ĠItaly,ĠLomb,ĠLomb,ÅĦst,wert,icals,idth,technical,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The year World War II ended was ____
 Answer: ",194,ĠWorld,ĠWWII,ĠWWII,ĠWWII,unist,ova,anggal,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Statue of Liberty was gifted by ____
 Answer: ",ĠFrance,ĠFrance,ĠFrance,ĠAmerica,ĠAmerica,commission,Ð¾Ð¶Ð´,ovsky,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The most populous city in the world is ____
 Answer: ",ĠTokyo,ĠNew,ĠBeijing,ĠBeijing,ĠBeijing,äººåı£,Ġtrillion,ovsky,wert,icals,xit,technical,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The only continent without snakes is ____
 Answer: ",ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,Ġcontinent,omap,Ġterre,noÅĽci,wert,icals,lete,technical,ç¾©,member,Ġ,Ġ,Ġ
