Res,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  The diagonal of a square with side length 4 is ____
 Answer: ",8,8,8,8,4,2,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The value of cos(90°) is ____
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The sum of angles in a pentagon is ____ degrees
 Answer: ",60,60,60,90,45,90,6,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The sine of 30 degrees is ____
 Answer: ",45,0,1,1,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The formula for the volume of a sphere is ____
 Answer: ",4,4,4,3,3,3,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The derivative of sin(x) is ____
 Answer: ",Ġcos,1,1,1,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The integral of 𝑒^𝑥𝑑𝑥 is ____
 Answer: ",1,1,2,2,2,1,1,2,2,1,2,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The year World War I began was ____
 Answer: ",191,191,191,191,191,191,191,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Renaissance began in the ____ century
 Answer: ",14,14,16,ĠRenaissance,ĠRenaissance,ĠRenaissance,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The explorer who discovered America in 1492 was ____
 Answer: ",ĠChristopher,ĠChristopher,ĠColumbus,ĠChristopher,ĠColumbus,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The capital of Canada is ____
 Answer: ",ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠCanada,ĠCanada,2,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The continent with the largest population is ____
 Answer: ",1,ĠAfrica,1,ĠIndia,1,ĠChina,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The island nation known for its ""Ring of Fire"" is ____
 Answer: ",ĠJapan,ĠJapan,ĠJapan,ĠJapan,ĠJapan,ĠJapan,ĠJapan,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Eiffel Tower is located in ____
 Answer: ",ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The smallest continent by land area is ____
 Answer: ",ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Taj Mahal was built in the year ____
 Answer: ",163,163,163,160,160,2,2,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Roman Colosseum is located in ____
 Answer: ",ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Great Barrier Reef is found in the country of ____
 Answer: ",ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The value of log(1) is ____
 Answer: ",1,0,1,0,0,0,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The reciprocal of 2 is ____
 Answer: ",1,1,1,1,1,2,2,2,2,1,2,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A prime number greater than 2 is always ____
 Answer: ",2,2,2,2,2,2,1,1,1,1,1,ĠA,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The cube root of 64 is ____
 Answer: ",8,8,8,16,16,2,3,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The sum of the interior angles of a hexagon is ____ degrees
 Answer: ",120,120,120,120,90,90,6,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The solution to 𝑥^2-3𝑥-4=0 is ____
 Answer: ",2,2,2,2,2,2,2,2,2,1,2,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The product of two negative numbers is always ____
 Answer: ",1,0,0,1,Ġ-,Ġ-,0,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The 10th term of the arithmetic sequence 2, 4, 6, ... is ____
 Answer: ",8,8,8,6,6,3,4,2,2,2,2,2,2,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The decimal equivalent of 3/4 is ____
 Answer: ",1,1,1,0,3,3,3,3,3,1,3,3,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The first four digits of pi are ____
 Answer: ",3,3,3,3,3,7,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The square of -7 is ____
 Answer: ",49,49,49,7,8,Ġ-,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The value of 2×10^3 is ____
 Answer: ",1,2,2,6,2,2,2,2,2,2,2,2,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The area of a square with side 5 is ____
 Answer: ",25,25,25,25,15,5,6,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The number of diagonals in a hexagon is ____
 Answer: ",6,6,6,6,6,2,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The cube of 3 is ____
 Answer: ",27,9,9,9,6,3,3,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The approximate value of 2 is ____
 Answer: ",1,2,2,2,2,2,2,2,2,2,2,2,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The log base 10 of 1000 is ____
 Answer: ",10,10,10,10,2,2,1,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The volume of a cylinder is calculated as ____
 Answer: ",2,2,2,2,2,3,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The height of Mount Everest is ____ meters
 Answer: ",29,29,29,884,8,2,1,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The longest wall in the world is ____
 Answer: ",1,ĠThe,7,10,ĠThe,ĠThe,1,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The first president of the United States was ____
 Answer: ",ĠGeorge,ĠGeorge,ĠGeorge,ĠGeorge,ĠGeorge,ĠGeorge,ĠWilliam,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The year the Titanic sank was ____
 Answer: ",191,191,191,191,191,191,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Cold War ended in the year ____
 Answer: ",198,198,198,198,198,198,196,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The current population of the world is approximately ____ billion
 Answer: ",7,7,7,1,1,2,1,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The planet closest to the sun is ____
 Answer: ",ĠMars,ĠMercury,ĠMars,ĠVenus,ĠVenus,ĠVenus,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The largest planet in our solar system is ____
 Answer: ",ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠVenus,1,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The number of moons Jupiter has is approximately ____
 Answer: ",13,9,6,6,2,2,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The formula for force in physics is ____
 Answer: ",1,1,1,1,2,ĠForce,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The SI unit of power is ____
 Answer: ",ĠJou,ĠJou,ĠJou,ĠWatt,ĠJou,ĠJou,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The atomic number of iron is ____
 Answer: ",26,26,26,26,2,6,6,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The chemical symbol for sodium is ____
 Answer: ",ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The boiling point of mercury is ____ degrees Celsius
 Answer: ",273,0,0,0,0,2,0,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The scientist who discovered gravity was ____
 Answer: ",ĠNewton,ĠNewton,ĠNewton,ĠNewton,ĠNewton,ĠNewton,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The father of modern physics is considered to be ____
 Answer: ",ĠEinstein,ĠAlbert,ĠAlbert,1,ĠThomas,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The speed of sound in air is approximately ____ m/s
 Answer: ",340,340,340,1,1,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The human brain weighs about ____ kilograms
 Answer: ",1,1,1,1,1,1,8,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The periodic table has ____ known elements
 Answer: ",1,6,2,7,1,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The most abundant gas in Earth's atmosphere is ____
 Answer: ",ĠNit,ĠNit,ĠNit,ĠCO,ĠCO,ĠCO,1,2,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The second largest country by land area is ____
 Answer: ",ĠAustralia,1,1,ĠChina,ĠChina,ĠChina,ĠChina,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The River Nile flows through ____ countries
 Answer: ",ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The deepest ocean in the world is the ____
 Answer: ",ĠThe,ĠThe,1,ĠThe,ĠAntarctica,ĠAntarctica,ĠAntarctica,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The capital city of India is ____
 Answer: ",ĠDelhi,ĠNew,ĠNew,ĠDelhi,ĠDelhi,ĠDelhi,ĠDelhi,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The first successful powered flight was in the year ____
 Answer: ",190,191,191,191,191,190,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The number of letters in the English alphabet is ____
 Answer: ",26,26,26,26,26,26,7,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The smallest even number is ____
 Answer: ",2,2,2,2,2,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The product of the angles in a triangle is always ____
 Answer: ",180,90,90,90,90,45,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The measure of a right angle is ____ degrees
 Answer: ",90,90,90,90,90,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The cosine of 0 degrees is ____
 Answer: ",1,1,1,1,0,0,0,0,1,1,0,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The average of 5, 10, and 15 is ____
 Answer: ",25,20,15,20,15,5,5,5,5,1,5,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The solution to 2x-8=0 is ____
 Answer: ",2,2,2,2,2,2,2,2,2,2,2,2,2,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The radius of a circle is half its ____
 Answer: ",Ġdiameter,Ġdiameter,2,2,Ġradius,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The radius of a circle is half its ____
 Answer: ",Ġdiameter,Ġdiameter,2,2,Ġradius,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The diagonal of a cube is equal to ____
 Answer: ",8,4,4,4,4,3,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The largest three-digit number is ____
 Answer: ",100,9,9,100,2,10,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The first four prime numbers are ____
 Answer: ",2,2,2,2,2,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The number of edges in a cube is ____
 Answer: ",36,6,6,6,6,3,8,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The value of 7! (7 factorial) is ____
 Answer: ",504,504,504,7,7,2,7,7,7,7,7,7,3,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The equation of a straight line is given by ____
 Answer: ",2,2,Ġy,Ġy,Ġy,2,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The SI unit of temperature is ____
 Answer: ",ĠKelvin,ĠKelvin,ĠKelvin,ĠKelvin,ĠKelvin,ĠCelsius,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The freezing point of ethanol is ____ degrees Celsius
 Answer: ",0,0,32,32,0,0,0,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The most common isotope of hydrogen is called ____
 Answer: ",1,1,1,1,Ġhydrogen,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The universal gravitational constant is approximately ____
 Answer: ",6,6,6,1,1,10,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The year Albert Einstein published his theory of relativity was ____
 Answer: ",190,190,191,191,191,191,191,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The first human to travel into space was ____
 Answer: ",1,1,1,1,1,ĠSpace,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The planet with the highest number of rings is ____
 Answer: ",ĠUran,ĠUran,ĠUran,ĠJupiter,ĠJupiter,ĠVenus,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The first law of thermodynamics states that energy cannot be ____ or ____
 Answer: ",ĠCreated,Ġcreated,1,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Richter scale measures ____
 Answer: ",10,6,ĠRicht,Ġmagnitude,Ġmagnitude,Ġmagnitude,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The capital of Australia is ____
 Answer: ",ĠCanberra,ĠSydney,ĠSydney,ĠCanberra,ĠNew,ĠAustralia,ĠAustralia,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The largest rainforest in the world is ____
 Answer: ",ĠAmazon,ĠAmazon,ĠAmazon,ĠAmazon,ĠAmazon,ĠAmazon,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Empire State Building is located in ____
 Answer: ",ĠNew,ĠNew,ĠNew,ĠNew,ĠManhattan,ĠManhattan,ĠManhattan,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Leaning Tower of Pisa is in the country of ____
 Answer: ",ĠItaly,ĠItaly,ĠItaly,ĠItaly,ĠItaly,ĠItaly,ĠItaly,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Great Pyramids of Giza were built by the ____ civilization
 Answer: ",ĠAncient,ĠAncient,1,1,1,2,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The formula for potential energy is ____
 Answer: ",1,1,1,1,1,2,2,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The kinetic energy of an object depends on its ____ and ____
 Answer: ",1,1,Ġspeed,1,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The law of reflection states that the angle of incidence is equal to the angle of ____
 Answer: ",90,90,90,90,90,45,2,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The speed of a wave is calculated as ____
 Answer: ",2,2,2,2,2,2,Ġspeed,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The unit of electric current is ____
 Answer: ",ĠAmp,ĠAmp,ĠAmp,ĠAmp,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The resistance of a conductor is measured in ____
 Answer: ",ĠOh,ĠOh,ĠOh,ĠOh,ĠOh,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The first programmable computer was invented in the year ____
 Answer: ",194,194,194,194,196,196,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The founder of the company Apple was ____
 Answer: ",ĠSteve,ĠSteve,ĠSteve,ĠSteve,ĠSteve,ĠSteve,ĠApple,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The binary value of the decimal number 8 is ____
 Answer: ",1,2,1,1,0,8,8,1,8,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The smallest particle of an element is called ____
 Answer: ",ĠAtom,ĠAt,Ġatom,Ġatom,Ġatom,Ġatom,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The SI unit of distance is ____
 Answer: ",Ġmetre,1,1,ĠKil,Ġmetre,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The number of protons in hydrogen is ____
 Answer: ",1,1,1,1,1,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Hubble Space Telescope was launched in ____
 Answer: ",199,199,199,199,199,199,199,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The periodic table was first developed by ____
 Answer: ",ĠDmit,ĠDmit,ĠDmit,ĠMend,ĠMend,ĠChemistry,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The formula for the volume of a pyramid is ____
 Answer: ",3,3,3,3,3,3,2,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The largest moon of Saturn is ____
 Answer: ",ĠTitan,ĠTitan,ĠTitan,ĠTitan,ĠSaturn,ĠVenus,1,2,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The year the Wright brothers flew was ____
 Answer: ",190,190,190,190,191,191,191,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The hottest planet in the solar system is ____
 Answer: ",ĠUran,ĠJupiter,ĠUran,ĠVenus,ĠVenus,ĠVenus,ĠVenus,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The ancient city of Rome is located in ____
 Answer: ",ĠItaly,ĠLat,ĠLat,ĠItaly,ĠItaly,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The year World War II ended was ____
 Answer: ",194,194,194,194,194,194,194,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Statue of Liberty was gifted by ____
 Answer: ",ĠFrance,ĠFrance,ĠFrance,ĠFrance,ĠFrance,ĠFrance,ĠFrance,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The most populous city in the world is ____
 Answer: ",ĠNew,ĠNew,ĠNew,ĠNew,ĠLondon,ĠLondon,ĠChina,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The only continent without snakes is ____
 Answer: ",ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The number of states in the USA is ____
 Answer: ",50,50,48,2,2,2,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Taj Mahal was built by Emperor ____
 Answer: ",ĠShah,ĠShah,ĠShah,ĠShah,ĠShah,2,2,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The capital of Italy is ____
 Answer: ",rome,rome,ĠRome,ĠRome,ĠRome,ĠRome,ĠItaly,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Amazon rainforest is often called the ____ of the planet
 Answer: ",ĠAmazon,ĠAmazon,ĠAmazon,ĠAmazon,ĠAmazon,ĠAmazon,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The number of neutrons in carbon-12 is ____
 Answer: ",6,6,6,6,6,2,1,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The planet known as the Red Planet is ____
 Answer: ",ĠMars,ĠMars,ĠMars,ĠMars,ĠMars,ĠMars,ĠMars,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The most abundant metal on Earth is ____
 Answer: ",ĠIron,ĠIron,ĠCopper,ĠCopper,ĠCopper,2,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The element with the highest melting point is ____
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The lowest temperature ever recorded on Earth was in ____
 Answer: ",ĠAntarctica,188,1,ĠAntarctica,ĠAntarctica,ĠAntarctica,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The equation 𝑦=𝑚𝑥+𝑐 represents a ____
 Answer: ",1,2,2,2,2,2,1,2,2,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  y=mx+c represents a ____
 Answer: ",1,1,Ġy,Ġy,Ġy,Ġy,Ġy,2,1,1,1,1,1,Ġ[,1,1,Ġ
"Using Answer Using one word only :  The first programming language designed was ____
 Answer: ",ĠBASIC,ĠBASIC,ĠBASIC,ĠBASIC,ĠBASIC,ĠC,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A gigabyte is equal to ____ megabytes
 Answer: ",102,1,102,1,1,2,2,1,1,1,1,ĠA,ĠAnswer,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The value of tan(45°) is ____
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The solution to 4x=16 is ____
 Answer: ",4,4,4,4,2,2,4,4,4,4,4,2,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The perimeter of a circle is also called the ____
 Answer: ",Ġcircumference,Ġcircumference,Ġcircumference,Ġcircumference,Ġcircumference,Ġcircumference,2,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The unit circle has a radius of ____
 Answer: ",1,1,1,1,2,1,1,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The cosine rule is used for finding ____
 Answer: ",ĠThe,ĠThe,2,2,Ġangles,2,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The formula for distance is ____
 Answer: ",2,2,2,2,2,2,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The first mechanical computer was invented by ____
 Answer: ",ĠCharles,ĠCharles,ĠCharles,ĠJohn,ĠJohn,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The scientist who formulated the laws of motion was ____
 Answer: ",ĠIsaac,ĠIsaac,ĠNewton,ĠNewton,ĠNewton,ĠNewton,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The protagonist of ""Naruto"" dreams of becoming the leader of his village, known as the ____.
 Answer: ",ĠHok,ĠHok,ĠHok,ĠHok,ĠNaruto,ĠThe,ĠThe,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  In ""Dragon Ball Z,"" Goku transforms into a powerful warrior called ____ Saiyan.
 Answer: ",ĠSuper,ĠSai,ĠSai,ĠSai,ĠSai,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The main character in ""Attack on Titan"" is named ____ Yeager.
 Answer: ",ĠE,ĠE,ĠE,ĠE,ĠA,ĠThe,ĠThe,2,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The weapon used by Ichigo Kurosaki in ""Bleach"" is called ____.
 Answer: ",ĠThe,ĠThe,ĠThe,ĠThe,ĠIch,Ġsword,ĠThe,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The anime ""One Piece"" follows the adventures of a pirate crew searching for the legendary treasure known as the ____.
 Answer: ",ĠOne,ĠOne,Ġtreasure,Ġtreasure,Ġtreasure,ĠThe,ĠThe,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  In ""My Hero Academia,"" Izuku Midoriya inherits a powerful Quirk called ____ for All.
 Answer: ",ĠAbility,1,1,1,1,1,1,1,1,1,ĠIn,ĠThe,ĠThe,ĠThe,1,1,Ġ
