Question,layer_33,layer_32,layer_31,layer_30,layer_29,layer_28,layer_27,layer_26,layer_25,layer_24,layer_23,layer_22,layer_21,layer_20,layer_19,layer_18,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
" The product of two negative numbers is always ____
 Answer: ",ĠPositive,1,Ġpositive,Ġnegative,Ġnegative,Ġnegative,Ġpositive,Ġpositive,ī,Ġpositive,ī,ī,ī,ī,presso,presso,presso,aeper,LIK,acha,ÑĤÐ¾Ñİ,.$.,.$.,STYPE,ibri,icha,ULSE,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The 10th term of the arithmetic sequence 2, 4, 6, ... is ____
 Answer: ",8,8,8,8,8,8,8,8,6,åģ¶,åģ¶,ÙĦÛĮØª,isos,chest,PEND,PEND,presso,STYPE,LIK,LIK,ycastle,/***/,ĠRouteServiceProvider,STYPE,ibri,icha,ULSE,adera,_nh,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" The decimal equivalent of 3/4 is ____
 Answer: ",Ġ,0,0,0,0,0,0,Ġná»Ńa,Ġná»Ńa,olle,TexCoord,TouchUpInside,olle,TouchUpInside,TouchUpInside,anners,anners,aeper,'gc,rophy,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,.$.,.$.,STYPE,ibri,icha,ULSE,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The first four digits of pi are ____
 Answer: ",Ġ,3,3,3,Ġpi,Ġpi,Ġpi,Ġpi,Ġpi,ĠPi,ĠPi,ĠPi,ĠPi,ĠPi,aje,_processors,ÑĩÐ½Ñĸ,bÃŃ,'gc,WARDED,UPPORTED,ktop,ktop,STYPE,ibri,ibri,ULSE,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The square of -7 is ____
 Answer: ",1,49,49,49,49,aland,49,39,ī,ī,ĠHaskell,ptal,inke,ĠPowers,TestingModule,TestingModule,presso,Ĵáŀ,LIK,rophy,ycastle,.$.,avigator,STYPE,ibri,icha,ULSE,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The value of 2×10^3 is ____
 Answer: ",Ġ,200,200,20,Î¼Î¼,Î¼Î¼,Î¼Î¼,Î¼Î¼,Ġthousands,Ġthousands,ĠAUTHORS,anceled,presso,'gc,'gc,Î¼Î¼,Î¼Î¼,aeper,'gc,ptest,ycastle,.$.,.$.,STYPE,ibri,icha,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The area of a square with side 5 is ____
 Answer: ",25,25,25,25,25,25,25,25,Area,Area,ĠArea,ovit,ovit,ovit,ovit,ovit,'gc,aeper,ptest,ptest,ycastle,.$.,.$.,STYPE,ibri,icha,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The number of diagonals in a hexagon is ____
 Answer: ",Ġ,9,9,9,icode,icode,21,elden,chine,apult,apult,bah,ĠÐ¿Ð¾Ð±Ð°,ĠÐ¿Ð¾Ð±Ð°,Ġanswer,'gc,'gc,'gc,ptest,ptest,ycastle,.$.,.scalablytyped,STYPE,ibri,icha,ULSE,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The cube of 3 is ____
 Answer: ",Ġ,27,27,27,27,Cube,Ġcube,Ġcube,Ġcube,Ġcube,ĠCub,ĠCub,ĠCub,ĠCub,.LoggerFactory,ulumi,ulumi,STYPE,'gc,ptest,ycastle,.$.,avigator,STYPE,ibri,icha,ULSE,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The approximate value of 2 is ____
 Answer: ",1,3,rada,2,ÛĮÙĨÙĩ,hm,istrovstvÃŃ,istrovstvÃŃ,.metamodel,ĠBanc,ĠBanc,vailability,URLException,URLException,oppins,ugi,anceled,aeper,FolderPath,WARDED,ycastle,.$.,avigator,STYPE,ibri,icha,ULSE,ĠINLINE,_nh,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The log base 10 of 1000 is ____
 Answer: ",Ġ,3,3,3,Ġthree,Ġthree,Ġthree,Ġlog,folio,Ġlog,Ġlog,Ġlog,Ġlog,Ġlog,Ġlog,upo,presso,acen,'gc,rophy,ÑĤÐ¾Ñİ,.$.,.$.,STYPE,ibri,icha,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The volume of a cylinder is calculated as ____
 Answer: ",1,Ġpi,Ġpi,Ġpi,Ġpi,Ġpi,Ġpi,Ġpi,Ġpi,Ġvolume,/Area,'gc,/Area,/Area,/Area,/Area,/Area,aeper,LIK,uent,ÑĤÐ¾Ñİ,Sharper,.$.,STYPE,ibri,icha,ULSE,ĠINLINE,_nh,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The height of Mount Everest is ____ meters
 Answer: ",Ġ,Ġ,884,ĠSag,ĠSag,ĠNep,ĠEverest,ĠEverest,ĠEverest,ĠEverest,ĠEverest,ĠEverest,Ġaltitude,Ġoxygen,ksam,presso,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,'gc,'gc,ekil,ycastle,.Metro,avigator,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The longest wall in the world is ____
 Answer: ",ĠGreat,ĠThe,ĠGreat,ĠGreat,ĠGreat,ĠGreat,ĠGreat,Ġwall,Ġwall,Ġwall,Ġwall,Ġwall,Ġwall,egal,egal,egal,emoc,aData,'gc,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,ycastle,.$.,.scalablytyped,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The first president of the United States was ____
 Answer: ",1,1,ĠGeorge,1,ĠGeorge,ĠGeorge,ĠGeorge,ĠWashington,ĠGeorge,Ġanswer,Ġtavern,leccion,/**ĊĊ,Ġanswer,_drvdata,presso,_drvdata,Uvs,'gc,rophy,ÑĤÐ¾Ñİ,#ab,.$.,STYPE,ibri,ibri,ICAST,ĠINLINE,otel,ĠkonkrÃ©t,å»,'gc,íĨ¤
" The year the Titanic sank was ____
 Answer: ",Ġ,191,191,191,191,191,191,191,191,191,191,191,191,191,191,ongsTo,_integer,ÏĦÏİ,'gc,:Event,ycastle,.Metro,avigator,STYPE,ibri,ibri,ICAST,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The Cold War ended in the year ____
 Answer: ",Ġ,199,198,199,198,199,199,199,199,199,199,199,198,iteDatabase,leftright,STANCE,itou,ktop,ĠSab,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,Uvs,UnitTest,.scalablytyped,STYPE,ibri,ibri,ICAST,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The current population of the world is approximately ____ billion
 Answer: ",Ġ,7,7,7,7,Ġpopulation,asant,asant,population,Ġpopulation,Ġpopulation,Ġpopulation,Ġpopulation,Ġpopulation,Ġanswer,eworld,leftright,Uvs,'gc,ekil,ycastle,UnitTest,avigator,STYPE,ibri,ĠLeading,ICAST,adera,DL,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" The planet closest to the sun is ____
 Answer: ",1,1,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠSun,ĠSun,ĠSun,Ġclosest,Ġclosest,ĠSun,Ġanswer,utive,Ġb,olute,'gc,<typeof,:uint,.$.,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The largest planet in our solar system is ____
 Answer: ",1,1,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,upiter,upiter,ĠEarth,utive,utive,larg,utive,Ġlarg,ktop,'gc,<typeof,ÑĤÐ¾Ñİ,.$.,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,å»,'gc,íĨ¤
" The number of moons Jupiter has is approximately ____
 Answer: ",Ġ,64,64,62,ĠGan,Ġmoons,Ġmoons,Ġmoons,Ġmoons,Ġmoons,ĠJupiter,è¡Ľ,è¡Ľ,olith,olith,è¡Ľ,Ġsana,ÏĦÏİ,ĠSab,rophy,ycastle,.$.,.scalablytyped,STYPE,ibri,icha,ULSE,ĠINLINE,_nh,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" The formula for force in physics is ____
 Answer: ",1,ĠF,ĠF,ĠForce,ĠForce,ĠForce,ĠForce,ĠForce,ĠForce,Ġforce,Ġforce,Ġexert,Ġexert,ī,Ġanswer,_marshall,presso,HeaderCode,LIK,ptest,ÑĤÐ¾Ñİ,#ab,.$.,STYPE,ibri,icha,ULSE,ĠINLINE,merc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The SI unit of power is ____
 Answer: ",1,1,ĠWatt,ĠWatt,ĠWatt,ĠWatt,Ġjou,Ġjou,Ġjou,Ġpower,Ġpower,iteDatabase,Ġpower,iteDatabase,iteDatabase,'gc,ktop,Ġcirc,'gc,<typeof,ÑĤÐ¾Ñİ,.$.,.$.,STYPE,ibri,icha,ULSE,ĠINLINE,merc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The atomic number of iron is ____
 Answer: ",26,26,26,26,Ġiron,Ġiron,Ġiron,Ġiron,Ġiron,Ġiron,Ġiron,Ġiron,iron,Ġiron,#af,éīĦ,Ġ@{Ċ,#aa,'gc,ptest,Uvs,.$.,avigator,STYPE,ibri,icha,ULSE,ĠINLINE,merc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The chemical symbol for sodium is ____
 Answer: ",1,ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,iteDatabase,iteDatabase,iteDatabase,iteDatabase,iteDatabase,iteDatabase,iteDatabase,'gc,HeaderCode,'gc,uent,Uvs,#ab,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" The boiling point of mercury is ____ degrees Celsius
 Answer: ",Ġ,ĠMercury,Ġmercury,ousel,ĠMercury,Ġmercury,Ġmercury,Ġmercury,Ġmercury,Ġmercury,Ġtemperatures,chter,lijah,enas,Ġtemperatures,chter,æ¸©åº¦,acen,'gc,ekil,ÑĤÐ¾Ñİ,UnitTest,avigator,STYPE,ibri,ibri,ICAST,adera,bÃ©,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" The scientist who discovered gravity was ____
 Answer: ",1,1,ĠNewton,ĠNewton,ĠNewton,ĠNewton,ĠNewton,ĠNewton,ĠNewton,ĠNewton,Ġgrav,Ġgrav,Ġanswer,iteDatabase,Ġanswer,ussy,presso,Ġcirc,'gc,acha,:uint,.$.,avigator,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,å»,'gc,íĨ¤
" The father of modern physics is considered to be ____
 Answer: ",1,1,ĠNewton,Ġrel,Ġrel,ĠNewton,ĠNewton,ĠAlbert,ĠNewton,ĠNewton,physics,Ġanswer,Ġanswer,iteDatabase,Ġanswer,presso,presso,HeaderCode,'gc,ptest,ÑĤÐ¾Ñİ,Sharper,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The speed of sound in air is approximately ____ m/s
 Answer: ",Ġ,ound,340,340,ĠMach,ĠMach,ĠMach,ĠMach,ĠMach,Ġspeed,Ġspeed,Ġspeed,Ġspeed,Ġspeed,jab,aris,ukan,'gc,LastError,<typeof,ÑĤÐ¾Ñİ,#ad,avigator,STYPE,ibri,icha,ULSE,adera,ISR,ĠkonkrÃ©t,addAll,'gc,íĨ¤
" The human brain weighs about ____ kilograms
 Answer: ",Ġ,1,1,1,1,Ġbrain,Ġbrain,Ġbrain,Ġbrain,ĠBrain,ĠBrain,Ġbrain,Ġbrain,Ġbrain,Ġbrain,ĠUPDATED,_WEIGHT,acen,'gc,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,logradouro,UnitTest,.scalablytyped,STYPE,ibri,ibri,adera,adera,bÃ©,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" The periodic table has ____ known elements
 Answer: ",118,118,118,118,118,ĠPeriod,ĠPeriod,ĠPeriod,Ġperiodic,Ġperiodic,elters,elters,alim,alim,alim,Ð½Ð¾Ð¿,Coroutine,acen,ĠSab,ekil,logradouro,UnitTest,avigator,STYPE,ibri,ibri,ULSE,adera,DL,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" The most abundant gas in Earth's atmosphere is ____
 Answer: ",1,1,Ġoxygen,Ġoxygen,Ġoxygen,Ġoxygen,Ġoxygen,ĠCO,Ġair,Ġair,Ġair,Ġatmosphere,Ġatmosphere,Ġanswer,Ġanswer,presso,Ġitemprop,Ġcirc,LastError,<typeof,ÑĤÐ¾Ñİ,#ab,.$.,STYPE,ibri,ibri,ULSE,adera,otel,ĠkonkrÃ©t,addAll,'gc,íĨ¤
" The second largest country by land area is ____
 Answer: ",1,1,ĠCanada,ĠRussia,ĠRussia,ĠCanada,ĠCanada,ĠCanada,ĠCanada,ĠCanada,larg,larg,larg,larg,Ġsecond,larg,'gc,'gc,'gc,acha,ÑĤÐ¾Ñİ,.$.,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,addAll,'gc,íĨ¤
" The River Nile flows through ____ countries
 Answer: ",Ġ,Ġ,ĠNile,ĠSudan,ĠSudan,ĠEgypt,ĠNile,ĠNile,ĠNile,Ġthree,ĠNile,ĠNile,ĠNile,iteDatabase,alim,Ġcoll,'gc,ĠSab,ĠSab,ĠSab,ycastle,UnitTest,.$.,STYPE,ibri,ibri,ICAST,adera,otel,ĠkonkrÃ©t,å»,'gc,íĨ¤
" The deepest ocean in the world is the ____
 Answer: ",1,1,ĠChallenger,ĠChallenger,ĠChallenger,ĠChallenger,Ġdeepest,Ġdeep,Ġdeepest,Ġdeepest,Ġdeepest,Ġdeep,Ġdeep,Ġdeep,Ġanswer,.nih,presso,ktop,'gc,ĠBrace,logradouro,.$.,.$.,STYPE,ibri,ibri,ULSE,ACKET,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The capital city of India is ____
 Answer: ",1,ĠNew,ĠNew,ĠNew,ĠDelhi,ĠDelhi,ĠDelhi,ĠDelhi,ĠDelhi,Ġcapitals,Capital,Capital,Ġcapital,Ġcapital,Ġcapital,.nih,ukan,aeper,specialchars,<typeof,ycastle,.$.,avigator,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The first successful powered flight was in the year ____
 Answer: ",Ġ,190,190,190,190,190,190,190,190,190,190,191,191,191,ivery,chter,ktop,ktop,ĠSab,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,ushima,#ab,.scalablytyped,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The number of letters in the English alphabet is ____
 Answer: ",Ġ,26,26,26,26,26,26,26,26,Ġletters,Ġletters,Ġletters,Ġletters,Ġletters,ortal,_processors,_processors,bÃŃ,LIK,ptest,ycastle,angstrom,.scalablytyped,STYPE,ibri,ibri,ICAST,ĠINLINE,_nh,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The smallest even number is ____
 Answer: ",2,2,2,2,2,Ġzero,Ġzero,Ġzero,åģ¶,åģ¶,åģ¶,ksam,'gc,'gc,Ġanswer,ĠTanner,Ġsaddle,bÃŃ,ĠSab,Ø´ÛĮ,arken,TOTYPE,.scalablytyped,STYPE,ibri,ibri,ULSE,ĠINLINE,DL,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The product of the angles in a triangle is always ____
 Answer: ",Ġ,Ġ,180,180,Ġalways,Ġalways,Ġalways,Ġalways,Ġalways,Ġalways,legen,arton,yne,yne,presso,presso,presso,aeper,specialchars,#ad,ÑĤÐ¾Ñİ,.$.,.scalablytyped,STYPE,ibri,icha,ULSE,ULSE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The measure of a right angle is ____ degrees
 Answer: ",Ġ,90,90,90,90,90,90,90,90,180,legen,legen,isos,ī,Ġbore,presso,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,aData,'gc,ekil,logradouro,UnitTest,avigator,STYPE,ibri,icha,ULSE,adera,DL,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The cosine of 0 degrees is ____
 Answer: ",1,1,1,1,1,1,1,1,1,Ġunit,Ġunit,iteDatabase,iteDatabase,ī,presso,ertos,Ġb,Uvs,'gc,<typeof,casecmp,.$.,.$.,STYPE,ibri,icha,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The average of 5, 10, and 15 is ____
 Answer: ",Ġ,10,10,10,10,ī,ī,ī,ī,ī,ī,ī,ī,ī,ī,bsp,presso,acen,acen,ptest,ycastle,.$.,ĠRouteServiceProvider,STYPE,ibri,icha,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The solution to 2x-8=0 is ____
 Answer: ",Ġ,4,4,4,4,4,aland,Ġzero,aland,setFlash,)application,angstrom,specialchars,'gc,ĠEg,egal,presso,VISIBLE,ecome,ekil,ÑĤÐ¾Ñİ,#ab,.$.,STYPE,ibri,icha,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The radius of a circle is half its ____
 Answer: ",1,Ġdiameter,Ġdiameter,Ġdiameter,Ġdiameter,Ġdiameter,Ġdiameter,Ġdiameter,Ġdiameter,Ġdiameter,Ġdiameter,dued,dued,dued,egal,presso,presso,aData,'gc,acha,ÑĤÐ¾Ñİ,.$.,.$.,STYPE,ibri,icha,ULSE,adera,merc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The radius of a circle is half its ____
 Answer: ",1,Ġdiameter,Ġdiameter,Ġdiameter,Ġdiameter,Ġdiameter,Ġdiameter,Ġdiameter,Ġdiameter,Ġdiameter,Ġdiameter,dued,dued,dued,egal,presso,presso,aData,'gc,acha,ÑĤÐ¾Ñİ,.$.,.$.,STYPE,ibri,icha,ULSE,adera,merc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The diagonal of a cube is equal to ____
 Answer: ",Ġ,Ġ,Ġside,ĠTwice,ĠTwice,ĠTwice,Ġtwice,Ġtwice,Ġhyp,Ġhyp,SKTOP,Ġhyp,Ġhyp,Ġhyp,presso,presso,presso,egal,ĠSab,acha,ÑĤÐ¾Ñİ,ACITY,.$.,STYPE,ibri,icha,ULSE,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The largest three-digit number is ____
 Answer: ",Ġ,999,999,999,999,999,999,ãĤ¥,ãĤ¥,Ġthousands,.LoggerFactory,ControlEvents,.LoggerFactory,.LoggerFactory,ackbar,/Peak,/Area,TouchUpInside,egal,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,lland,ãĤĿ,.scalablytyped,STYPE,ibri,ibri,ICAST,ĠINLINE,_nh,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The first four prime numbers are ____
 Answer: ",2,2,2,2,2,Ġtwin,Ġprimes,Ġprime,Ġprime,ĠPrime,Ġprimes,Ġprimes,Ġprimes,ī,isel,presso,presso,bÃŃ,'gc,<typeof,UPPORTED,angstrom,.scalablytyped,STYPE,ibri,ibri,ULSE,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The number of edges in a cube is ____
 Answer: ",Ġ,12,12,12,Ġfaces,'gc,EDGE,Ġfaces,edge,Ġfaces,Ġfaces,ĠCub,ĠCub,Ġsurface,Ġsurface,Ġ[#,_processors,'gc,ptest,ptest,lland,ACITY,.scalablytyped,STYPE,ibri,icha,ULSE,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The value of 7! (7 factorial) is ____
 Answer: ",Ġ,504,504,ĠFactor,ĠFactor,«ĺ,Ġfactorial,Ġfactorial,Ġfactorial,ĠRouteServiceProvider,STANCE,STANCE,Ġfactorial,STANCE,'gc,'gc,'gc,ktop,'gc,ãĤ·ãĥ¼,ycastle,.Metro,ĠRouteServiceProvider,STYPE,ibri,mpr,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The equation of a straight line is given by ____
 Answer: ",1,Ġy,Ġy,rix,rix,Ġintercept,Ġintercept,dued,dued,Ġlinear,ĠLINEAR,.GraphicsUnit,URLException,#af,exels,URLException,presso,HeaderCode,LastError,#ad,ÑĤÐ¾Ñİ,Sharper,.$.,STYPE,ibri,icha,ULSE,ĠINLINE,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The SI unit of temperature is ____
 Answer: ",1,ĠKelvin,ĠKelvin,ĠKelvin,ĠKelvin,ĠKelvin,ĠKelvin,ĠKelvin,elsius,Ġtemperature,Ġtemperature,Ġtemperature,elsius,iteDatabase,Ġanswer,iteDatabase,ukan,ktop,specialchars,ptest,ÑĤÐ¾Ñİ,.$.,.$.,STYPE,ibri,icha,ULSE,ĠINLINE,merc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The freezing point of ethanol is ____ degrees Celsius
 Answer: ",Ġ-,Ġ-,Ġanswer,ouch,Ġ`-,Ġminus,anka,Ġfreezing,Ġfreezing,Ġfreezing,Ġfreezing,Ġfreezing,Ġfreezing,ENA,Ġtemperatures,COPE,presso,acen,'gc,ekil,ÑĤÐ¾Ñİ,UnitTest,avigator,STYPE,ibri,icha,ULSE,adera,bÃ©,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" The most common isotope of hydrogen is called ____
 Answer: ",1,Ġde,1,1,Ġhydrogen,Ġhydrogen,Ġhydrogen,Ġanswer,Ġanswer,Ġanswer,Ġanswer,iteDatabase,iteDatabase,Ġanswer,Ġanswer,presso,presso,HeaderCode,'gc,<typeof,ÑĤÐ¾Ñİ,#ab,avigator,STYPE,ibri,icha,ULSE,ĠINLINE,merc,ĠkonkrÃ©t,addAll,'gc,íĨ¤
" The universal gravitational constant is approximately ____
 Answer: ",1,ĠG,ĠG,.opendaylight,_permalink,ĠDropIndex,ĠDropIndex,ĠDropIndex,ĠDropIndex,Ġgravity,Ġgravity,Ġgravity,Ġconstants,Ġconstants,Î¼Î¼,ksam,etas,#aa,'gc,ptest,ÑĤÐ¾Ñİ,.$.,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,merc,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" The year Albert Einstein published his theory of relativity was ____
 Answer: ",Ġ,190,190,190,190,190,190,190,191,191,191,191,191,191,presso,presso,ptest,Uvs,LastError,acha,ÑĤÐ¾Ñİ,.$.,.scalablytyped,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,å»,'gc,íĨ¤
" The first human to travel into space was ____
 Answer: ",1,1,ĠYuri,ĠYuri,ĠYuri,ĠYuri,ĠYuri,astr,onaut,onaut,onaut,onaut,onaut,bsp,Ġanswer,bsp,bsp,oust,ĠSab,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,logradouro,#ab,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The planet with the highest number of rings is ____
 Answer: ",ĠSaturn,ĠSaturn,Ġuranus,ĠSaturn,ĠSaturn,ĠSaturn,ĠSaturn,ĠSaturn,ĠSaturn,Ġring,ĠSaturn,Ġplanet,Ġmoons,Ġmoons,akit,Ġmoons,'gc,'gc,ycastle,acha,:uint,.$.,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The first law of thermodynamics states that energy cannot be ____ or ____
 Answer: ",ĠCreated,Ġneither,Ġcreated,Ġcreated,Ġneither,Ġneither,Ġneither,Ġneither,Ġneither,Ġneither,Ġneither,Ġneither,Ġanswer,Ġanswer,Ġanswer,Drv,COPE,Uvs,LastError,ç¶,Uvs,#ab,#ab,STYPE,ibri,icha,ULSE,ĠINLINE,merc,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" The Richter scale measures ____
 Answer: ",1,1,ĠEarth,ĠEarth,Ġtrem,earth,Ġearthquake,Ġearthquake,Ġearthquake,Ġearthquake,Ġtrem,Ġtrem,iteDatabase,iteDatabase,inel,presso,presso,ÏĦÏİ,'gc,uent,ÑĤÐ¾Ñİ,.$.,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The capital of Australia is ____
 Answer: ",1,1,ĠCanberra,ĠCAN,ĠCanberra,ĠCanberra,ĠCanberra,ĠCanberra,ĠCanberra,ĠCanberra,Ġcapital,Ġcapital,Ġcapital,Ġcapital,Ġcapital,Ġcapital,.nih,aeper,ĠSab,<typeof,:uint,.$.,.$.,STYPE,ibri,ibri,ICAST,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The largest rainforest in the world is ____
 Answer: ",1,1,ĠAmazon,ĠAmazon,ĠAmazon,ĠAmazon,ĠAmazon,ĠAmazon,ĠAmazon,ĠAmazon,ĠAmazon,Ġanswer,ĠAmazon,'gc,Ġanswer,'gc,'gc,'gc,'gc,acha,Uvs,.$.,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,å»,'gc,íĨ¤
" The Empire State Building is located in ____
 Answer: ",1,ĠNew,ĠNew,ĠNew,ĠNew,ĠNew,ĠNYC,ĠNYC,ĠManhattan,ĠManhattan,ĠManhattan,ĠNYC,ĠNYC,ī,emain,presso,ukan,:Event,'gc,uent,logradouro,.$.,.$.,STYPE,ibri,ibri,ICAST,ĠINLINE,otel,ĠkonkrÃ©t,å»,'gc,íĨ¤
" The Leaning Tower of Pisa is in the country of ____
 Answer: ",1,1,ĠItaly,ĠItaly,ĠItaly,ĠItaly,ĠItaly,ĠItaly,ĠItaly,ĠItaly,ĠItaly,iteDatabase,Ġbuff,iteDatabase,Ġanswer,ateg,Ð»ÑĥÑĪ,'gc,'gc,:Event,:uint,.Metro,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The Great Pyramids of Giza were built by the ____ civilization
 Answer: ",1,Ġ,Ġanswer,Ġanswer,ĠEgyptians,ĠEgyptians,Ġanswer,ĠEgyptians,ĠEgyptians,ĠNile,ĠNile,ĠNile,ĠNile,ateg,Ġonc,Ġ,ÑĢÐ¾Ð³,presso,ĠSab,ekil,logradouro,UnitTest,avigator,STYPE,ibri,ibri,ULSE,adera,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The formula for potential energy is ____
 Answer: ",1,ĠPE,ĠPE,Ġanswer,ĠKE,ĠKE,grese,Ġpotential,grese,Ġenergy,Ġenergy,grese,grese,grese,ekce,'gc,ipple,HeaderCode,LIK,ptest,Uvs,#ab,.$.,STYPE,ibri,icha,ULSE,ĠINLINE,merc,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" The kinetic energy of an object depends on its ____ and ____
 Answer: ",1,Ġmass,Ġmass,Ġmass,Ġmass,Ġmass,Ġmass,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,iteDatabase,Ġanswer,Ġanswer,grese,_drvdata,Uvs,LastError,<typeof,Uvs,#ab,.$.,STYPE,ibri,icha,ULSE,ĠINLINE,merc,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
