Res,layer_41,layer_40,layer_39,layer_38,layer_37,layer_36,layer_35,layer_34,layer_33,layer_32,layer_31,layer_30,layer_29,layer_28,layer_27,layer_26,layer_25,layer_24,layer_23,layer_22,layer_21,layer_20,layer_19,layer_18,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  The value of 2×10^3 is ____
 Answer: ",2,2,2,2,▁thousand,▁thousand,▁thousand,▁thousand,▁thousand,▁thousand,▁thousand,▁thousand,▁thousand,▁thousand,▁thousand,▁thousand,▁thousand,▁Two,▁thousand,▁thousand,▁hundred,▁multiplication,▁multiplication,▁exponential,hel,▁exponential,rio,ellig,ellig,▁NA,inand,inand,lej,ethe,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The area of a square with side 5 is ____
 Answer: ",2,2,2,2,2,▁square,▁twenty,▁square,▁square,▁square,▁square,▁square,▁square,▁square,▁square,▁square,▁square,▁square,▁square,▁square,▁square,▁square,▁square,▁exponential,▁dou,vd,rio,ellig,ellig,NA,hem,lej,lej,lej,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The number of diagonals in a hexagon is ____
 Answer: ",6,6,6,▁six,▁six,▁hex,▁hex,▁six,▁six,▁six,▁hex,▁six,▁six,▁six,▁six,▁six,▁six,▁six,▁hex,▁diagonal,▁six,▁six,▁six,▁six,niu,riel,helm,ellig,ellig,NA,hem,CCE,▁bil,ethe,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The cube of 3 is ____
 Answer: ",2,2,2,2,2,▁cube,▁cube,▁cube,▁cube,▁cube,▁cube,▁cube,▁cube,▁cube,▁cub,▁cube,▁cub,▁cub,▁cube,▁cube,▁cube,▁cube,▁cub,▁multiplication,chin,vd,▁correctly,ront,none,NA,hem,lej,▁bil,ethe,nak,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The approximate value of 2 is ____
 Answer: ",2,2,2,2,2,▁approximate,▁approximation,▁Two,▁Two,▁Two,▁Two,▁Two,▁Two,▁Two,▁Two,▁Two,▁Two,▁Two,▁Two,▁round,▁approximation,▁rounded,lear,▁trace,niu,gex,ót,ront,none,▁NA,hem,CCE,▁bil,ethe,ethod,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The log base 10 of 1000 is ____
 Answer: ",2,2,2,3,2,logs,▁log,▁log,▁log,▁log,▁log,▁log,▁log,▁log,▁log,▁log,▁log,▁log,▁log,▁log,▁log,▁log,logs,▁lord,hel,ound,ound,ellig,none,▁NA,inand,inand,lej,ethe,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The volume of a cylinder is calculated as ____
 Answer: ",π,▁V,▁pi,▁pi,π,▁pi,▁pi,▁Area,▁pi,▁volume,▁volume,▁volume,▁volume,▁volume,▁volume,▁volume,▁volume,▁cyl,▁volume,▁volume,▁volume,▁volume,calcul,▁proportional,zioni,vd,vd,ellig,none,NA,hem,CCE,▁bil,ethe,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The height of Mount Everest is ____ meters
 Answer: ",8,8,8,8,8,▁Ever,▁Ever,▁Ever,▁Ever,▁Ever,▁Ever,▁Ever,▁Ever,▁Ever,▁Ever,▁Ever,▁Ever,▁Mount,▁Mount,▁mountain,▁mountain,▁height,▁mountain,▁mountain,chin,zin,ellig,ellig,none,NA,hem,inand,▁bil,ethe,▁incon,▁Bedeut,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The longest wall in the world is ____
 Answer: ",▁The,▁Great,▁Great,▁Great,▁Great,▁Great,▁Great,▁Great,▁Great,▁Great,▁wall,▁wall,▁wall,▁wall,▁wall,▁wall,▁wall,▁wall,▁wall,▁longest,▁wall,▁longest,▁longest,▁longest,chin,▁word,▁word,ront,none,hem,hem,lej,▁bil,ethe,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The first president of the United States was ____
 Answer: ",▁George,▁George,▁George,▁George,▁George,▁George,▁Washington,▁Washington,▁George,▁George,▁George,▁George,▁George,▁George,▁_,▁_,▁_,▁_,▁President,▁inaugur,"▁""",▁constitution,▁First,▁first,▁word,▁word,▁correctly,rio,none,bb,hem,lej,▁bil,lej,ethod,▁Bedeut,arta,iva,hol,<s>,▁screens
"Using Answer Using one word only :  The year the Titanic sank was ____
 Answer: ",1,1,1,1,1,1,1,▁_,▁passenger,▁sink,▁sink,▁ice,▁ice,▁_,▁_,▁_,▁_,▁_,▁year,▁year,▁year,▁year,▁year,▁correct,▁correct,▁correct,▁correctly,ront,none,bb,hem,lej,▁bil,ethe,▁incon,▁Bedeut,arta,▁Хронологија,hol,<s>,▁screens
"Using Answer Using one word only :  The Cold War ended in the year ____
 Answer: ",1,1,1,1,1,1,1,▁Berlin,▁Berlin,▁Berlin,▁Cold,▁Berlin,▁Berlin,▁Cold,▁Cold,▁Cold,▁Cold,▁Cold,▁Cold,▁Soviet,▁Soviet,▁Soviet,▁late,)))),▁correct,vd,▁correctly,ront,none,<0x8C>,hem,lej,▁bil,roll,▁incon,▁Хронологија,arta,ів,oco,<s>,▁screens
"Using Answer Using one word only :  The current population of the world is approximately ____ billion
 Answer: ",7,7,7,7,7,7,▁Seven,▁Seven,▁Population,▁bill,▁bill,▁population,▁bill,▁population,▁population,▁population,▁population,▁population,▁population,▁population,▁population,▁population,▁billion,▁billion,chin,vd,▁billion,ellig,none,sol,hem,inand,enas,ethe,▁incon,▁Bedeut,arta,endo,hol,<s>,▁screens
"Using Answer Using one word only :  The planet closest to the sun is ____
 Answer: ",▁Mercur,▁Mercur,▁Mercur,▁Mercur,▁Mercur,▁Mercur,▁Mercur,▁Mercur,▁Mercur,▁Mercur,▁Mercur,▁planet,▁planet,▁planet,▁planet,▁planet,▁sun,▁planet,▁planet,▁solar,▁solar,▁solar,▁solar,▁solar,chin,▁word,ellig,ellig,none,NA,hem,lej,▁bil,▁bil,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The largest planet in our solar system is ____
 Answer: ",▁Jup,▁Jup,▁Jup,▁Jup,▁Jup,▁Jup,▁Jup,▁Jup,▁Jup,▁Jup,▁Jup,▁planet,▁planet,▁planet,▁planet,▁planet,▁planet,▁planet,▁planet,▁planet,▁planet,▁planet,▁largest,▁largest,chin,▁word,ienie,ellig,none,bb,hem,lej,▁bil,roll,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The number of moons Jupiter has is approximately ____
 Answer: ",5,5,5,5,▁Jup,▁Jup,▁Jup,▁Jup,▁Jup,▁Jup,▁Jup,▁Jup,▁Jup,▁Jup,▁Jup,▁Jup,▁Jup,▁Jup,▁Jup,▁Jup,▁planet,▁planet,▁number,▁dozen,riel,riel,Fetch,ront,none,▁correct,hem,inand,▁bil,ethe,▁incon,▁Bedeut,arta,endo,hol,<s>,▁screens
"Using Answer Using one word only :  The formula for force in physics is ____
 Answer: ",▁F,▁F,▁F,▁F,▁Force,▁force,▁Force,▁force,▁force,▁force,▁force,▁force,▁force,▁force,▁force,▁force,▁force,▁force,▁force,▁force,▁force,▁force,▁Newton,▁word,chin,vd,ienie,ellig,none,bb,hem,lej,▁bil,ethe,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The SI unit of power is ____
 Answer: ",▁W,▁w,▁w,▁w,▁w,▁jou,▁jou,▁jou,▁jou,▁jou,▁jou,▁jou,▁jou,▁kil,▁kil,▁kil,▁kil,▁kil,▁power,▁units,▁energy,▁units,▁units,▁units,chin,ellig,ienie,ellig,none,bb,hem,lej,▁bil,ethe,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The atomic number of iron is ____
 Answer: ",2,2,2,2,▁Fe,▁Fe,▁iron,▁Fe,▁Fe,▁iron,▁iron,▁iron,▁iron,▁iron,▁iron,▁iron,▁iron,▁iron,▁iron,▁iron,▁atomic,▁atomic,▁atomic,geben,riel,ienie,ienie,ellig,none,NA,hem,lej,lej,ethe,ethod,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The chemical symbol for sodium is ____
 Answer: ",▁Na,▁Na,▁Na,▁Na,▁Na,▁Na,▁Na,▁Na,▁Na,▁Na,▁sod,▁sod,▁sod,▁sod,▁sod,▁sod,▁sod,▁sod,▁sod,▁sod,▁capital,▁denoted,▁abbre,▁answer,chin,vd,▁correctly,ellig,none,bb,hem,lej,▁bil,roll,▁Хронологија,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The boiling point of mercury is ____ degrees Celsius
 Answer: ",3,3,3,3,3,▁Mercur,▁Mercur,▁Mercur,▁Mercur,▁bo,▁bo,▁bo,▁Mercur,▁Mercur,▁Mercur,▁Mercur,▁Mercur,▁Mercur,▁Mercur,▁temperature,▁temperature,▁temperature,▁temperature,▁temperature,chin,vd,ellig,ellig,zin,answer,hem,lej,lej,ethe,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The scientist who discovered gravity was ____
 Answer: ",▁Newton,▁Newton,▁Newton,▁Newton,▁Newton,▁Newton,▁Newton,▁Newton,▁Newton,▁Newton,▁Newton,▁gravity,▁gravity,▁gravity,▁gravity,▁gravity,▁gravity,▁gravity,▁gravity,▁gravity,▁gravity,▁gravity,▁scient,▁word,▁word,▁word,▁correctly,rio,none,bb,hem,lej,▁bil,ethe,▁incon,▁Хронологија,arta,iva,oco,<s>,▁screens
"Using Answer Using one word only :  The father of modern physics is considered to be ____
 Answer: ",▁Albert,▁Albert,▁Albert,▁Albert,▁Albert,▁Newton,▁Newton,▁Albert,▁Newton,▁Newton,▁Newton,▁Newton,▁physics,▁Newton,▁physics,▁Newton,▁physics,▁physics,▁physics,▁Sir,abb,abb,▁Nobel,▁Nobel,▁word,▁word,ienie,rio,bst,bb,hem,lej,▁bil,ethe,▁Хронологија,▁Хронологија,arta,iva,hol,<s>,▁screens
"Using Answer Using one word only :  The speed of sound in air is approximately ____ m/s
 Answer: ",3,3,3,3,3,▁Mach,▁Mach,▁Mach,▁Mach,▁Mach,▁Mach,▁Mach,▁Mach,▁sound,▁sound,▁sound,▁sound,▁sound,▁speed,▁speed,▁speed,▁speed,▁speed,▁velocity,▁speed,ellig,ellig,ellig,none,▁correct,hem,lej,lej,ethe,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The human brain weighs about ____ kilograms
 Answer: ",1,1,1,1,1,▁kil,▁kil,kg,kg,kg,kg,kg,kg,kg,▁brain,▁weight,▁weight,▁brain,▁brain,▁brain,▁brain,▁brain,▁brain,анд,chin,ellig,ellig,ellig,none,idi,hem,lej,lej,ethe,▁incon,▁Bedeut,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The periodic table has ____ known elements
 Answer: ",1,1,▁known,▁known,▁Period,▁Period,elements,elements,elements,▁element,▁element,▁element,▁element,▁element,▁element,▁element,▁element,▁element,▁element,▁atomic,▁chemical,▁chemical,▁hundreds,▁hundreds,▁finite,▁word,ellig,ront,none,NA,hem,lej,▁bil,ethe,ethod,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The most abundant gas in Earth's atmosphere is ____
 Answer: ",▁N,▁N,▁nit,▁nit,▁nit,▁nit,▁nit,▁nit,▁nit,▁nit,▁air,▁air,▁air,▁air,▁air,▁air,▁atmosphere,▁atmosphere,▁gas,▁gas,▁air,▁gas,▁air,▁',chin,▁word,ienie,ellig,none,bb,hem,lej,lej,lej,▁incon,▁Bedeut,arta,iva,hol,<s>,▁screens
"Using Answer Using one word only :  The second largest country by land area is ____
 Answer: ",▁Russia,▁Russia,▁Canada,▁China,▁China,▁Russia,▁Russia,▁Russia,▁Russia,▁Russia,▁Russia,▁Russia,▁Russia,▁Russia,▁Russia,▁Russia,▁second,▁second,▁land,▁size,▁largest,▁land,▁second,▁second,chin,▁word,ienie,ellig,none,bb,hem,lej,enas,ethe,▁incon,▁Bedeut,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The River Nile flows through ____ countries
 Answer: ",▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁bil,▁Egypt,▁bil,chin,vd,rio,ellig,none,NA,hem,lej,lej,ethe,nak,ockey,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The deepest ocean in the world is the ____
 Answer: ",▁Pacific,▁Pacific,▁Pacific,▁Pacific,▁Pacific,▁Pacific,▁Pacific,▁Pacific,▁Pacific,▁Pacific,▁ocean,▁ocean,▁ocean,▁ocean,▁aby,▁aby,▁ocean,▁ocean,▁depth,▁ocean,▁depth,▁depth,▁sea,▁sea,chin,▁word,▁word,ront,none,bb,hem,lej,▁bil,▁bil,▁incon,▁Bedeut,arta,ів,hol,<s>,▁screens
"Using Answer Using one word only :  The capital city of India is ____
 Answer: ",▁Del,▁Del,▁Del,▁Del,▁Del,▁Del,▁Del,▁Del,▁Del,▁Del,▁Del,▁Del,▁India,▁India,▁capital,▁capital,▁capital,▁capital,▁capital,▁capital,▁capital,▁capital,▁capital,▁capital,▁correct,▁word,ienie,ellig,none,bb,hem,iano,▁bil,CCE,ethod,▁Bedeut,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The first successful powered flight was in the year ____
 Answer: ",1,1,1,1,1,▁Wright,▁Wright,▁flight,▁Wright,▁Wright,▁Wright,▁Wright,▁Wright,▁flight,▁flight,▁flight,▁flight,▁flight,▁flight,▁flight,▁flight,▁flight,▁proto,▁earliest,▁Correct,vd,▁correctly,rio,none,bb,hem,lej,enas,lej,▁incon,▁Bedeut,arta,iva,hol,<s>,▁screens
"Using Answer Using one word only :  The number of letters in the English alphabet is ____
 Answer: ",2,2,2,▁twenty,▁twenty,▁twenty,▁twenty,▁alphabet,▁alphabet,▁alphabet,▁alphabet,▁alphabet,▁alphabet,▁alphabet,▁alphabet,▁alphabet,▁alphabet,▁alphabet,▁alphabet,▁alphabet,▁alphabet,▁alphabet,▁alphabet,▁twelve,chin,▁answer,▁word,ellig,none,NA,hem,CCE,▁bil,ethe,ethod,▁Bedeut,issen,hol,hol,<s>,▁screens
"Using Answer Using one word only :  The smallest even number is ____
 Answer: ",2,2,2,2,2,2,▁odd,▁odd,▁odd,▁odd,▁odd,▁odd,▁odd,▁smallest,▁smallest,▁zero,▁zero,▁zero,▁smallest,▁smallest,▁smallest,▁smallest,▁smallest,▁smallest,niu,niu,ellig,ellig,none,▁NA,hem,lej,lej,ethe,ethod,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The product of the angles in a triangle is always ____
 Answer: ",1,▁greater,▁greater,▁greater,▁greater,▁greater,▁greater,▁greater,▁greater,▁greater,▁equal,▁sum,▁sum,▁sum,▁sum,▁triangle,▁sum,▁sum,▁triangle,▁tri,▁sum,▁sum,▁sum,▁tri,▁bil,vd,ienie,ellig,none,pas,hem,lej,▁bil,▁bil,▁incon,▁Bedeut,arta,iva,hol,<s>,▁screens
"Using Answer Using one word only :  The measure of a right angle is ____ degrees
 Answer: ",9,9,9,9,▁nin,▁nin,▁nin,▁nin,▁obt,▁angles,▁angles,▁angles,▁angles,▁angles,▁angles,▁angles,▁angles,▁angles,▁angles,▁angles,▁angles,▁angles,▁zero,▁zero,chin,zin,ellig,ellig,none,NA,hem,lej,▁bil,ethe,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The cosine of 0 degrees is ____
 Answer: ",1,1,1,1,1,▁cos,▁unity,▁cos,▁unity,▁cos,▁cos,▁cos,▁cos,▁cos,▁cos,▁cos,▁cos,▁cos,▁cos,▁zero,▁zero,▁zero,▁zero,▁zero,▁zero,ellig,ellig,ellig,answer,NA,hem,lej,▁bil,ethe,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The average of 5, 10, and 15 is ____
 Answer: ",1,1,1,▁_,▁fifteen,▁fifteen,▁_,▁fifteen,▁fifteen,▁fifteen,▁fifteen,▁fifteen,▁fifteen,▁intermediate,▁intermediate,▁intermediate,▁intermediate,▁intermediate,▁intermediate,▁intermediate,▁intermediate,▁intermediate,▁combined,▁neutral,Shared,Shared,rio,ellig,none,ellig,hem,inand,▁bil,inand,▁incon,▁Bedeut,▁virt,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The solution to 2x-8=0 is ____
 Answer: ",4,4,4,4,4,▁infinity,▁infinity,▁infinity,▁eight,▁eight,▁eight,▁eight,▁eight,▁infinity,▁infinity,▁infinity,▁solutions,▁eight,▁eight,▁eight,▁positive,▁Zero,▁zero,▁eight,niu,ound,▁NA,ellig,ellig,▁NA,hem,lej,lej,ethe,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The radius of a circle is half its ____
 Answer: ",▁diameter,▁diameter,▁diameter,▁diameter,▁diameter,▁diameter,▁diameter,▁diameter,▁diameter,▁diameter,▁diameter,▁diameter,▁diameter,▁diameter,▁radius,▁radius,▁radius,▁radius,▁radius,▁radius,▁half,half,half,ello,chin,▁word,ellig,ellig,bst,NA,hem,lej,lej,ethe,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The radius of a circle is half its ____
 Answer: ",▁diameter,▁diameter,▁diameter,▁diameter,▁diameter,▁diameter,▁diameter,▁diameter,▁diameter,▁diameter,▁diameter,▁diameter,▁diameter,▁diameter,▁radius,▁radius,▁radius,▁radius,▁radius,▁radius,▁half,half,half,ello,chin,▁word,ellig,ellig,bst,NA,hem,lej,lej,ethe,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The diagonal of a cube is equal to ____
 Answer: ",√,▁its,▁hyp,▁hyp,▁root,▁root,▁root,▁root,▁root,▁root,▁root,▁root,▁cube,▁cube,▁cube,▁cube,▁cube,▁cube,▁cube,▁diagonal,sqrt,▁diagonal,sqrt,▁diagonal,Hash,vd,ellig,ellig,none,pas,hem,lej,▁bil,▁bil,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The largest three-digit number is ____
 Answer: ",9,9,9,9,9,▁XXX,▁XXX,▁thousand,▁thousand,▁thousand,▁Tri,▁Tri,▁Tri,▁Tri,▁triple,▁triple,▁triple,▁triple,▁triple,▁tri,▁Three,▁digits,▁digits,rio,niu,ót,rio,ellig,none,▁NA,hem,lej,▁bil,ethe,nak,▁Bedeut,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The first four prime numbers are ____
 Answer: ",2,2,2,2,2,▁prime,▁prime,▁prime,▁prime,▁prime,▁prime,▁prime,▁prime,▁prime,▁prime,▁prime,▁prime,▁prime,▁prime,▁prime,▁prime,▁prim,▁four,▁four,▁word,▁word,ellig,ellig,none,sol,hem,lej,lej,lej,ethod,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The number of edges in a cube is ____
 Answer: ",1,1,1,▁twelve,▁twelve,▁edges,▁edges,▁twelve,▁edges,▁edges,▁edges,▁edges,▁edges,▁edges,▁cube,▁cube,▁cube,▁cube,▁cube,▁edges,▁edges,▁edges,▁interior,▁six,▁NUM,zin,helm,ellig,ellig,NA,hem,iano,▁bil,ethe,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The value of 7! (7 factorial) is ____
 Answer: ",5,5,5,5,5,▁kre,▁kre,▁yield,▁yield,▁Aur,Perm,▁factor,▁Seven,▁Seven,▁Seven,▁Seven,▁seven,▁seven,▁combin,▁combin,▁combin,▁permut,▁multiplication,▁multiplication,icode,▁expon,riel,ellig,ellig,ellig,inand,inand,lej,ethe,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The equation of a straight line is given by ____
 Answer: ",▁y,▁y,▁Ax,▁Ax,▁slope,▁slope,▁slope,▁slope,▁slope,▁slope,▁slope,▁slope,▁slope,▁slope,▁slope,▁slope,▁slope,▁slope,▁equation,▁formula,▁equation,▁mathematical,▁mathematical,áb,chin,vd,ienie,ellig,none,pas,hem,CCE,▁bil,▁bil,▁incon,▁Bedeut,arta,hol,hol,<s>,▁screens
"Using Answer Using one word only :  The SI unit of temperature is ____
 Answer: ",▁Kel,▁degree,▁Kel,▁degree,▁degree,▁degree,▁Kel,▁Kel,▁Kel,▁Kel,▁Kel,▁Kel,▁Kel,▁temperature,▁temperature,▁temperature,▁temperature,▁temperature,▁temperature,▁temperature,▁temperature,▁temperature,▁units,▁units,chin,▁answer,ienie,ellig,none,bb,hem,CCE,▁bil,ethe,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The freezing point of ethanol is ____ degrees Celsius
 Answer: ",▁-,▁-,7,▁-,▁-,▁(-,▁(-,▁minus,▁free,▁alco,▁alco,▁alco,▁alco,▁alco,▁alco,▁fro,▁fro,▁fro,▁alco,▁alco,▁temperature,▁temperature,▁temperature,▁temperature,chin,ellig,ellig,ellig,zin,answer,hem,lej,lej,ethe,▁incon,▁Bedeut,arta,ione,hol,<s>,▁screens
"Using Answer Using one word only :  The most common isotope of hydrogen is called ____
 Answer: ",▁prot,▁prot,▁prot,▁prot,▁hydro,▁hydro,▁hydro,▁hydro,▁hydro,▁hydro,▁hydro,▁hydro,▁hydro,▁hydro,▁hydro,▁hydro,▁hydro,▁hydro,▁hydro,▁hydro,▁hydro,▁hydro,▁``,▁',chin,▁word,ienie,ellig,none,bb,hem,lej,lej,ethe,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The universal gravitational constant is approximately ____
 Answer: ",6,▁G,▁G,▁G,▁G,▁G,▁constant,▁constant,▁constant,▁constant,▁constant,▁constant,▁constant,▁constant,▁constant,▁gravit,▁gravit,▁constant,▁constant,▁gravit,▁constant,▁constant,▁constant,chin,chin,iri,ienie,ellig,none,bb,hem,CCE,▁bil,ethe,ethod,▁Bedeut,arta,iva,hol,<s>,▁screens
"Using Answer Using one word only :  The year Albert Einstein published his theory of relativity was ____
 Answer: ",1,1,1,1,1,1,1,▁relativ,▁relativ,▁Ein,▁Ein,▁Ein,▁Ein,▁Ein,▁Ein,▁year,▁year,▁year,▁year,▁year,▁Ein,▁year,▁year,▁correct,▁correct,vd,▁correctly,rio,none,bb,hem,lej,▁bil,▁bil,▁incon,▁Хронологија,arta,▁Хронологија,hol,<s>,▁screens
"Using Answer Using one word only :  The first human to travel into space was ____
 Answer: ",▁Y,▁Y,▁Y,▁Y,▁Y,▁astr,▁astr,▁astr,▁astr,▁astr,▁astr,▁astr,▁astr,▁astr,▁astr,▁astr,▁astr,▁astr,▁astr,▁astr,▁astr,▁astr,▁pione,▁pione,chin,▁word,ienie,ront,none,bb,hem,lej,▁bil,▁bil,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The planet with the highest number of rings is ____
 Answer: ",▁Sat,▁Sat,▁Sat,▁Sat,▁Sat,▁Sat,▁Sat,▁Sat,▁Sat,▁Sat,▁Sat,▁Sat,▁Jup,▁rings,▁rings,▁rings,▁rings,▁rings,▁rings,▁planet,▁planet,▁planet,▁planet,▁bil,chin,▁word,zin,ellig,none,bb,hem,lej,▁bil,ethe,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The first law of thermodynamics states that energy cannot be ____ or ____
 Answer: ",▁created,▁created,▁created,▁created,▁created,▁created,▁created,▁created,▁created,▁created,▁destroyed,▁gained,▁neither,▁neither,▁neither,▁conser,▁conser,▁conser,▁energy,▁neither,▁neither,▁neither,▁neither,▁',both,vd,both,ront,zin,bb,hem,▁bil,lej,lej,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The Richter scale measures ____
 Answer: ",▁earth,▁earth,▁earth,▁earth,▁magnitude,▁magnitude,▁magnitude,▁earth,▁earth,▁magnitude,▁magnitude,▁earth,▁earth,▁magnitude,▁magnitude,▁magnitude,▁magnitude,▁magnitude,▁magnitude,▁magnitude,▁magnitude,▁measured,▁meas,▁meas,chin,▁word,ienie,ront,none,pas,hem,lej,lej,ethe,ethod,▁Bedeut,▁virt,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The capital of Australia is ____
 Answer: ",▁Can,▁Can,▁Can,▁Can,▁Can,▁Can,▁Can,▁Can,▁Can,▁Can,▁Sydney,▁Sydney,▁Sydney,▁Melbourne,▁capital,▁capital,▁capital,▁capital,▁capital,▁capital,▁capital,▁capital,▁capital,▁capital,▁correct,▁word,▁word,ront,none,NA,hem,iano,▁bil,ethe,ethod,▁Bedeut,arta,ів,hol,<s>,▁screens
"Using Answer Using one word only :  The largest rainforest in the world is ____
 Answer: ",▁Amazon,▁Amazon,▁Amazon,▁Amazon,▁Amazon,▁Amazon,▁Amazon,▁Amazon,▁Amazon,▁Amazon,▁Amazon,▁Amazon,▁Amazon,▁Amazon,▁Amazon,▁Amazon,▁Amazon,▁tropical,▁Amazon,▁tropical,▁forest,▁largest,▁largest,▁largest,chin,▁word,ienie,rio,none,bb,hem,lej,▁bil,roll,▁incon,▁Bedeut,arta,iva,hol,<s>,▁screens
"Using Answer Using one word only :  The Empire State Building is located in ____
 Answer: ",▁New,▁New,▁New,▁NEW,▁Manh,▁NEW,▁Manh,▁Manh,▁Manh,▁Manh,▁Manh,▁Manh,▁Manh,▁Manh,▁Manh,▁Manh,▁Manh,▁Manh,▁USA,▁USA,▁metropol,ello,англ,oli,▁correct,▁correctly,▁correctly,ellig,none,bb,hem,iano,▁bil,roll,nak,▁Bedeut,arta,iva,oco,<s>,▁screens
"Using Answer Using one word only :  The Leaning Tower of Pisa is in the country of ____
 Answer: ",▁Italy,▁Italy,▁Italy,▁Italy,▁Italy,▁Italy,▁Italy,▁Italy,▁Italy,▁Italy,▁Italy,▁Italy,▁Italy,▁Italy,▁Italy,▁Italy,▁Italy,▁Italy,▁Italy,▁Italy,▁Italy,▁Italy,▁Italy,▁Italy,▁correct,▁correct,▁correctly,ellig,none,hem,hem,iano,lej,roll,▁Wor,▁Bedeut,arta,iva,hol,<s>,▁screens
"Using Answer Using one word only :  The Great Pyramids of Giza were built by the ____ civilization
 Answer: ",▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,▁Egypt,rio,▁correct,▁word,rio,ront,bst,bb,hem,lej,lej,lej,▁Хронологија,ockey,arta,▁Хронологија,hol,<s>,▁screens
"Using Answer Using one word only :  The formula for potential energy is ____
 Answer: ",▁P,▁P,½,▁Energy,▁energy,▁potential,▁energy,▁half,▁half,▁half,▁potential,▁energy,▁potential,▁potential,▁potential,▁potential,▁energy,▁energy,▁energy,▁energy,▁energy,▁energy,▁energy,▁correct,chin,vd,ienie,ellig,none,bb,hem,CCE,▁bil,ethe,ethod,▁Bedeut,arta,▁`(,hol,<s>,▁screens
